Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.093, 0.102, 0.115, 0.13157959183673476, 0.152, 0.168, 0.1851632653061226, 0.20309523809523827, 0.218, 0.2343099834528406, 0.248, 0.261, 0.27537030941408824, 0.295, 0.3169206349206352, 0.344, 0.368, 0.402, 0.429, 0.481, 0.528, 0.622, 0.7462126398946677, 0.861, 0.946, 1.0419632653061226, 1.1533222341568208, 1.212747583243824, 1.28, 1.332, 1.389, 1.4284217687074834, 1.47, 1.521, 1.558295918367347, 1.595, 1.631, 1.673, 1.704, 1.736, 1.768, 1.7948911564625858, 1.8215760368663596, 1.862, 1.8917653061224493, 1.9162523643603784, 1.952, 1.972, 2.0, 2.029]",1.2,25,-2.4,2.367,2.347
3,"[0.093, 0.10218863761720905, 0.112, 0.127, 0.153, 0.171, 0.19, 0.204, 0.22034693877551023, 0.23801632653061217, 0.25, 0.2648979591836734, 0.277, 0.299, 0.322, 0.346, 0.3728290126861555, 0.39830442176870756, 0.438, 0.48028826530612234, 0.53, 0.62, 0.756, 0.844, 0.9768604081632651, 1.076, 1.152, 1.2186207482993197, 1.2786190476190475, 1.34, 1.392, 1.432, 1.471, 1.5191330612244898, 1.5590170068027212, 1.5975314285714286, 1.632, 1.662, 1.699, 1.738, 1.77, 1.803513605442177, 1.827, 1.864, 1.894, 1.918, 1.9461717687074829, 1.9770850340136055, 2.0, 2.028]",1.2,25,-2.4,2.363,2.345
4,"[0.095, 0.106, 0.11805952380952393, 0.138, 0.157, 0.173, 0.189, 0.207, 0.222, 0.236, 0.25, 0.264, 0.28202197802197804, 0.3, 0.326, 0.3453942857142858, 0.372, 0.40681547619047614, 0.441, 0.4808118466898955, 0.5375714285714287, 0.6404864864864865, 0.762, 0.8961085714285715, 0.971, 1.093, 1.158, 1.2198452380952385, 1.2798333333333334, 1.338, 1.3933085714285713, 1.432, 1.4744175824175827, 1.524, 1.563, 1.5982307692307691, 1.634, 1.6588018433179723, 1.7008380952380953, 1.736, 1.767, 1.804, 1.834083333333334, 1.864, 1.8931885714285712, 1.919, 1.946, 1.978, 2.001, 2.028]",1.2,25,-2.4,2.364,2.345
5,"[0.095, 0.104, 0.119, 0.1349028571428573, 0.156, 0.176, 0.1923257142857144, 0.20766666666666678, 0.222, 0.23770857142857152, 0.251, 0.264, 0.28, 0.30201190476190476, 0.326, 0.345, 0.372, 0.4026514285714286, 0.4356618075801749, 0.48051785714285716, 0.5471658986175116, 0.635, 0.7725942857142858, 0.8861085714285715, 0.985982857142857, 1.095017142857143, 1.161, 1.2143809523809534, 1.2778333333333334, 1.3397293233082705, 1.396642857142857, 1.434, 1.473697142857143, 1.521, 1.561, 1.596, 1.634, 1.671, 1.694, 1.738, 1.768, 1.8055952380952387, 1.8333200000000003, 1.864, 1.8953928571428569, 1.921, 1.949, 1.978, 2.002, 2.031]",1.2,25,-2.4,2.361,2.343
6,"[0.095, 0.103, 0.11805952380952393, 0.137, 0.155, 0.175, 0.19, 0.204, 0.223, 0.238, 0.249, 0.266, 0.2787644787644788, 0.303, 0.32607692307692326, 0.349, 0.37287969924812026, 0.401, 0.434, 0.467, 0.5382337662337664, 0.642, 0.773, 0.8752261904761905, 0.9857654986522911, 1.089017142857143, 1.160047619047619, 1.222, 1.285, 1.344, 1.395, 1.436, 1.473217142857143, 1.52, 1.561, 1.5996000000000001, 1.639, 1.666, 1.709, 1.739, 1.769, 1.8015952380952387, 1.832615384615385, 1.8578013937282232, 1.895, 1.917, 1.946202380952381, 1.97, 2.0, 2.028]",1.2,25,-2.4,2.36,2.342
7,"[0.095, 0.10398603651987134, 0.122, 0.14, 0.15863755102040822, 0.178, 0.191, 0.208, 0.223, 0.238, 0.251, 0.265, 0.283, 0.30146186895810956, 0.328, 0.353, 0.37929251700680283, 0.41, 0.44, 0.479, 0.548, 0.687, 0.7850233236151606, 0.8824914965986393, 0.993, 1.0902590266875982, 1.162, 1.233, 1.294, 1.343, 1.397, 1.436, 1.478, 1.5243813104189043, 1.5636791836734694, 1.5987597402597402, 1.6360579591836735, 1.679, 1.709, 1.7407755102040814, 1.771, 1.807, 1.836, 1.8659319727891164, 1.895, 1.9186348012889367, 1.948, 1.979, 2.002, 2.03]",1.2,25,-2.4,2.36,2.342
8,"[0.095, 0.107, 0.11953996598639467, 0.137, 0.15843673469387767, 0.173, 0.192, 0.206, 0.222, 0.23935875402792695, 0.2518839957035447, 0.26645339216767794, 0.28, 0.30314455782312927, 0.328, 0.3509744897959186, 0.3769497645211935, 0.411, 0.442, 0.477, 0.544, 0.6628228571428574, 0.7867020408163268, 0.908, 0.998, 1.0970489795918374, 1.167, 1.224, 1.295, 1.343, 1.397, 1.436, 1.4823015141540488, 1.526777210884354, 1.565, 1.6017714285714288, 1.6457108843537425, 1.678, 1.7093301320528214, 1.741, 1.7791273469387758, 1.807, 1.834, 1.866, 1.897, 1.9233957725947524, 1.948, 1.9783350340136054, 2.0006827458256033, 2.027]",1.2,25,-2.4,2.358,2.341
9,"[0.095, 0.104, 0.121, 0.14, 0.157, 0.173, 0.1933257142857144, 0.205, 0.223, 0.23910204081632658, 0.2507451737451738, 0.264, 0.283, 0.3, 0.325, 0.345, 0.3768241758241758, 0.4048803088803089, 0.445, 0.473, 0.56, 0.646, 0.783, 0.911, 0.987, 1.0920329670329672, 1.175, 1.2249226190476192, 1.2818333333333334, 1.328, 1.3933085714285713, 1.435, 1.4754175824175826, 1.515, 1.565, 1.6, 1.63, 1.6627542857142856, 1.7028380952380953, 1.74, 1.772, 1.796, 1.827, 1.864, 1.8943928571428568, 1.917428571428571, 1.953, 1.971, 2.0, 2.028]",1.2,25,-2.4,2.358,2.34
10,"[0.095, 0.108, 0.12134362934362944, 0.14059523809523866, 0.158, 0.175, 0.1936263736263739, 0.208, 0.22248262548262557, 0.237, 0.2511028571428572, 0.26626373626373645, 0.28, 0.3, 0.327, 0.345, 0.378, 0.409, 0.444, 0.4757244897959184, 0.5571028571428572, 0.648, 0.7874661654135339, 0.908, 0.9687654986522911, 1.091, 1.16, 1.226, 1.2948333333333333, 1.342, 1.396, 1.4381746031746034, 1.478, 1.525, 1.5631785714285713, 1.5986, 1.631, 1.67, 1.703, 1.741, 1.7714114285714286, 1.806, 1.825, 1.864, 1.896, 1.918, 1.947, 1.978095238095238, 2.003, 2.031]",1.2,25,-2.4,2.357,2.339
11,"[0.095, 0.10469498069498091, 0.121, 0.14, 0.159, 0.17481142857142853, 0.19042857142857164, 0.20684000000000002, 0.223, 0.237, 0.2511028571428572, 0.267, 0.281, 0.30201190476190476, 0.328, 0.354, 0.383, 0.409, 0.44620077220077226, 0.481, 0.56, 0.667, 0.7872197802197803, 0.908, 0.9989387755102039, 1.0943383458646616, 1.156, 1.2204057142857145, 1.2828333333333333, 1.345047619047619, 1.396, 1.436, 1.474, 1.515818532818533, 1.5641785714285714, 1.602, 1.6364940476190475, 1.663, 1.705, 1.7384171428571429, 1.77, 1.796, 1.832, 1.8653736263736267, 1.895, 1.919, 1.946, 1.977095238095238, 2.0, 2.029]",1.2,25,-2.4,2.356,2.338
