Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.095, 0.104, 0.117, 0.133, 0.15562811791383174, 0.174, 0.18727918367346924, 0.204, 0.22, 0.236, 0.248, 0.264, 0.276, 0.29809353741496575, 0.319, 0.3419540816326527, 0.371, 0.399, 0.4329175510204081, 0.47721020408163206, 0.552, 0.633, 0.734, 0.861, 0.964, 1.068, 1.1524370748299317, 1.221, 1.274, 1.323, 1.38, 1.426, 1.463, 1.506, 1.5395918367346937, 1.573, 1.6201831988609396, 1.6516954474097332, 1.6805730832873689, 1.7135306122448979, 1.7517530612244896, 1.7830938775510203, 1.811, 1.8393762755102039, 1.869, 1.896, 1.929, 1.95, 1.975910518053375, 2.005]",1.2,25,-2.4,2.333,2.333
3,"[0.093, 0.104, 0.116, 0.13276366030283085, 0.153, 0.17001360544217684, 0.1884829931972791, 0.205, 0.218399889685604, 0.23525170068027224, 0.24502040816326523, 0.262, 0.27718820861677995, 0.29484548104956265, 0.31701098901098906, 0.34039030612244897, 0.37, 0.404, 0.4431482593037214, 0.474, 0.5443605442176872, 0.6351190476190479, 0.7528066083576287, 0.876, 0.951, 1.074, 1.154765306122449, 1.220158555729984, 1.2745102040816325, 1.325, 1.377056514913658, 1.415, 1.457, 1.5059342403628115, 1.5399089906232764, 1.585, 1.6104219881500987, 1.655, 1.6845548814120241, 1.716, 1.75, 1.7783503401360543, 1.806458646616541, 1.8396304664723033, 1.8681151020408162, 1.8992585034013603, 1.9265330612244895, 1.953, 1.976, 2.006]",1.2,25,-2.4,2.33,2.331
4,"[0.094, 0.103, 0.11791192266380224, 0.131, 0.15477687074829902, 0.172, 0.18953689167974852, 0.20539682539682527, 0.217, 0.235, 0.248, 0.262, 0.275, 0.29409353741496574, 0.319, 0.33947704081632646, 0.374, 0.395, 0.443, 0.475, 0.554, 0.642404761904762, 0.747, 0.8649339735894358, 0.973, 1.0713574720210666, 1.144, 1.215, 1.279, 1.328, 1.381, 1.418, 1.465, 1.504, 1.541, 1.585, 1.6228752834467117, 1.655, 1.684, 1.7163032069970845, 1.750579277864992, 1.7821268615554329, 1.81, 1.8398191094619663, 1.8693537414965984, 1.8987661334804191, 1.923, 1.955, 1.975, 2.006]",1.2,25,-2.4,2.327,2.328
5,"[0.094, 0.10294777911164461, 0.11881795918367345, 0.13443642072213494, 0.155, 0.171, 0.19033437990580862, 0.205, 0.21828373930217257, 0.235, 0.24502040816326523, 0.26253877551020405, 0.277, 0.2954767346938776, 0.3210057142857143, 0.34, 0.37481475667189945, 0.399, 0.44, 0.471, 0.5582595918367348, 0.6351190476190479, 0.7583799058084771, 0.8757989195678271, 0.962, 1.076, 1.158, 1.216, 1.282, 1.329, 1.372, 1.4255399659863943, 1.4648602825745685, 1.505, 1.547584666298952, 1.578551020408163, 1.622, 1.655, 1.684, 1.717, 1.745, 1.778, 1.8089172932330821, 1.84, 1.87, 1.9030838389409817, 1.9216845008273578, 1.952, 1.976, 2.006]",1.2,25,-2.4,2.328,2.328
6,"[0.093, 0.10380272108843526, 0.119, 0.1381830151415404, 0.154, 0.175, 0.191, 0.2029539170506913, 0.21754685547688465, 0.23500226757369622, 0.25, 0.264, 0.28, 0.296, 0.3200057142857143, 0.3371224489795914, 0.372, 0.40258088601294173, 0.44316409829237813, 0.473, 0.558, 0.642, 0.766, 0.882, 0.963, 1.074, 1.156, 1.2087400644468311, 1.279, 1.32865843179377, 1.3717493877551021, 1.421, 1.459, 1.492960544217687, 1.545, 1.576551020408163, 1.61903181272509, 1.653, 1.6827108843537415, 1.715, 1.752, 1.7841681632653061, 1.8089172932330821, 1.841, 1.868, 1.897, 1.926, 1.953, 1.975, 2.005]",1.2,25,-2.4,2.325,2.326
7,"[0.094, 0.10391545189504367, 0.11941383219954645, 0.139, 0.154, 0.176, 0.19, 0.20470285714285721, 0.219, 0.235, 0.245, 0.26253877551020405, 0.276, 0.296, 0.323, 0.3397806122448978, 0.37381475667189945, 0.3975808860129417, 0.437, 0.474, 0.565, 0.651, 0.7666775510204081, 0.891, 0.9656567055393586, 1.073, 1.1503197278911563, 1.208, 1.2801904761904759, 1.328, 1.379, 1.413, 1.459, 1.5064563265306123, 1.544, 1.5877582417582417, 1.61, 1.653, 1.683, 1.717, 1.7425368916797488, 1.782, 1.81, 1.839, 1.868, 1.903, 1.9235830903790085, 1.95125850340136, 1.9739701343952214, 2.003]",1.2,25,-2.4,2.324,2.326
8,"[0.095, 0.105, 0.12043027210884343, 0.13594606413994165, 0.156, 0.17199165120593682, 0.19053689167974852, 0.201, 0.218408163265306, 0.236, 0.247, 0.263, 0.276, 0.299, 0.321, 0.3484770408163264, 0.36998448979591836, 0.404, 0.438, 0.474, 0.53, 0.654, 0.7737087198515769, 0.8930397422126745, 0.962, 1.08, 1.155, 1.225, 1.280142857142857, 1.3287228786251342, 1.3771459968602824, 1.417, 1.466, 1.506, 1.541, 1.587, 1.616, 1.655, 1.68192443463872, 1.716, 1.752, 1.779, 1.80593984962406, 1.840273654916512, 1.869, 1.8996538775510203, 1.927, 1.952, 1.976, 2.005]",1.2,25,-2.4,2.324,2.325
9,"[0.093, 0.104, 0.12, 0.13643642072213494, 0.154, 0.175, 0.18733437990580862, 0.202, 0.217, 0.234, 0.248, 0.263, 0.279, 0.297, 0.32057142857142845, 0.341, 0.3697591836734694, 0.3938869277440706, 0.441, 0.477, 0.5647210884353743, 0.6585934065934067, 0.778, 0.886, 0.977, 1.072, 1.145, 1.213, 1.2811203007518794, 1.321, 1.3850262390670556, 1.414050483351235, 1.459, 1.5057253401360544, 1.543, 1.5787582417582415, 1.611, 1.6506389324960749, 1.681, 1.716, 1.753, 1.7803503401360543, 1.8119172932330823, 1.8413960286817428, 1.87, 1.894, 1.925, 1.9485310204081632, 1.974, 2.006]",1.2,25,-2.4,2.32,2.321
10,"[0.094, 0.10428897959183674, 0.12082766439909311, 0.136, 0.15749149659863937, 0.175, 0.189, 0.206, 0.219, 0.237, 0.24502040816326523, 0.263, 0.2763663751214771, 0.297, 0.3210075187969925, 0.346, 0.37681475667189945, 0.40730272108843507, 0.4452173193601764, 0.47917185821697106, 0.563, 0.659, 0.7749410430839002, 0.8898256029684601, 0.972, 1.075, 1.1538861439312567, 1.212158555729984, 1.2763809523809517, 1.324, 1.376, 1.42, 1.46, 1.5049506802721087, 1.545, 1.577, 1.609, 1.655, 1.683, 1.717, 1.751, 1.7805510204081632, 1.8141771428571427, 1.839, 1.867, 1.895, 1.923034908700322, 1.951, 1.973, 2.006]",1.2,25,-2.4,2.322,2.324
11,"[0.094, 0.103, 0.121, 0.1356530612244898, 0.155, 0.173, 0.19, 0.201, 0.217, 0.231, 0.25, 0.263, 0.276, 0.29609353741496575, 0.3211758241758242, 0.34259512837393014, 0.375, 0.4, 0.437, 0.482, 0.567, 0.669, 0.783, 0.8855198711063372, 0.9687113702623905, 1.074, 1.162, 1.2146163265306122, 1.280142857142857, 1.329, 1.382, 1.427, 1.464, 1.508, 1.548, 1.584, 1.624, 1.656, 1.6857670068027206, 1.717, 1.744, 1.783, 1.81, 1.839, 1.8686326530612245, 1.895766133480419, 1.922, 1.951, 1.974, 2.004]",1.2,25,-2.4,2.32,2.322
