Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.093, 0.10003935860058313, 0.109, 0.121, 0.1369809084924292, 0.157, 0.171, 0.188, 0.2020680272108844, 0.22, 0.232, 0.246, 0.267, 0.288, 0.32054887218045114, 0.34738737004235654, 0.38, 0.41, 0.45, 0.49, 0.55, 0.6531972789115646, 0.778, 0.872, 0.972, 1.074, 1.152, 1.205566058002148, 1.2776031746031744, 1.3226475455046882, 1.381, 1.426, 1.464, 1.507, 1.543, 1.5872532467532467, 1.624, 1.658, 1.686155102040816, 1.7231808905380335, 1.7505632653061223, 1.78, 1.8147619047619028, 1.8439529042386185, 1.875, 1.903, 1.934, 1.955, 1.984, 2.013]",1.2,25,-2.4,2.348,2.329
3,"[0.093, 0.101, 0.111, 0.122, 0.1376977648202137, 0.157, 0.176, 0.18809523809523793, 0.2022792696025778, 0.221, 0.2333596938775511, 0.248, 0.264, 0.28762480376766075, 0.3223314285714286, 0.348, 0.3837444897959183, 0.417, 0.441, 0.494, 0.5557369001654716, 0.660202380952381, 0.788, 0.888, 0.9870765306122444, 1.073, 1.142489795918367, 1.206, 1.279, 1.327909387755102, 1.384, 1.429, 1.456, 1.5082346938775508, 1.555, 1.583, 1.6236250944822375, 1.658, 1.688, 1.723, 1.756, 1.7867607709750566, 1.819, 1.846, 1.8773673469387753, 1.9068794063079777, 1.9324204081632654, 1.95582693877551, 1.985, 2.015]",1.2,25,-2.4,2.348,2.329
4,"[0.094, 0.102, 0.111, 0.1225191326530613, 0.139, 0.1566122448979592, 0.17474627688913402, 0.189, 0.20455265306122453, 0.221, 0.235, 0.24863802363050475, 0.267, 0.29379434850863423, 0.322, 0.35, 0.384, 0.4158639455782312, 0.455, 0.507, 0.569, 0.677, 0.7831873177842567, 0.8911955782312924, 0.9822040816326528, 1.079, 1.157, 1.214, 1.28, 1.327, 1.38, 1.430842403628118, 1.470362811791383, 1.509, 1.548, 1.5854285714285712, 1.63, 1.662, 1.697, 1.721, 1.7550901360544218, 1.7841149301825994, 1.821, 1.8479529042386185, 1.8797908163265302, 1.907, 1.936, 1.958, 1.986684458398744, 2.02]",1.2,25,-2.4,2.346,2.327
5,"[0.095, 0.1025685131195335, 0.11163346938775519, 0.124, 0.142, 0.15864858138377308, 0.176, 0.191, 0.206, 0.223, 0.235, 0.253, 0.2717800453514736, 0.297, 0.323, 0.353, 0.38714115646258496, 0.42606371329019405, 0.46054907677356666, 0.508, 0.576, 0.6747738095238095, 0.801, 0.90019249862107, 0.995, 1.0921983673469389, 1.1654064625850338, 1.228, 1.285, 1.3307658163265306, 1.38796546310832, 1.4310521541950112, 1.4695467239527389, 1.509518747033697, 1.559, 1.591, 1.627, 1.662, 1.696, 1.721, 1.758, 1.789, 1.821, 1.858, 1.877473098330241, 1.908, 1.933, 1.957360544217687, 1.983, 2.017]",1.2,25,-2.4,2.346,2.328
6,"[0.094, 0.102, 0.112, 0.126, 0.13998760932944598, 0.158, 0.17467512410369543, 0.191, 0.2056298952013237, 0.2232340691378592, 0.236, 0.25, 0.2671583673469387, 0.294, 0.327, 0.353, 0.388, 0.421, 0.459, 0.502, 0.573045306122449, 0.697, 0.813, 0.912, 0.999, 1.0793574720210666, 1.1487482993197267, 1.2243763265306122, 1.281382857142857, 1.332, 1.39, 1.43, 1.4619591836734693, 1.509, 1.55, 1.5900902255639096, 1.627, 1.662, 1.689, 1.726, 1.7583963480128895, 1.7902823129251704, 1.8168095238095234, 1.848632653061224, 1.88, 1.908, 1.934, 1.96, 1.989, 2.02]",1.2,25,-2.4,2.345,2.327
7,"[0.096, 0.103, 0.113, 0.12677551020408165, 0.14537808807733613, 0.16, 0.17488292158968857, 0.192, 0.208, 0.225, 0.2367066326530613, 0.2527925170068025, 0.274, 0.3010938775510205, 0.326, 0.3549948979591839, 0.388, 0.42, 0.46077721088435375, 0.495, 0.581, 0.682, 0.813, 0.91, 1.0063418367346937, 1.096, 1.164, 1.231, 1.287, 1.332, 1.39, 1.4318151927437641, 1.469, 1.5110442176870746, 1.559216472303207, 1.588, 1.621, 1.665, 1.693, 1.728, 1.7528335949764526, 1.785, 1.8224126984126987, 1.8466326530612245, 1.882, 1.9064474097331239, 1.939, 1.96, 1.988, 2.017]",1.2,25,-2.4,2.345,2.327
8,"[0.095, 0.1037696793002915, 0.11319801434087144, 0.12519152276295126, 0.14176632653061214, 0.15883243823845333, 0.176, 0.191, 0.205, 0.222, 0.235, 0.252, 0.266, 0.293, 0.329, 0.356, 0.389, 0.423, 0.4634376417233557, 0.5043924646781787, 0.571, 0.712, 0.815, 0.916, 0.994, 1.08, 1.1458658892128277, 1.217, 1.271, 1.3268257456828882, 1.3894156820622983, 1.426, 1.473, 1.512, 1.559, 1.5872481203007518, 1.629, 1.6637916219119226, 1.695, 1.729, 1.7585412244897958, 1.7874766763848395, 1.8159591836734694, 1.849, 1.8787653061224485, 1.9067959183673469, 1.94, 1.961278911564626, 1.989, 2.021]",1.2,25,-2.4,2.343,2.325
9,"[0.097, 0.104, 0.115, 0.12924875896304464, 0.146, 0.1623673469387753, 0.18018934240362822, 0.1952857142857142, 0.21, 0.2262448979591836, 0.23810361067503924, 0.257, 0.2709220116618075, 0.302, 0.33257142857142863, 0.35932605600379675, 0.39, 0.424, 0.471, 0.507, 0.601, 0.722, 0.8169477040816325, 0.908, 1.001, 1.084, 1.154364081632653, 1.236, 1.2865054945054941, 1.333, 1.3912534013605442, 1.436, 1.4770204081632652, 1.516, 1.557, 1.5929085714285711, 1.625, 1.662, 1.7, 1.73, 1.759, 1.79, 1.826, 1.851, 1.88, 1.908, 1.936, 1.958, 1.99, 2.017]",1.2,25,-2.4,2.343,2.325
10,"[0.097, 0.10543461829176111, 0.11594693877551022, 0.12732653061224475, 0.146, 0.163, 0.179, 0.196, 0.20932312925170057, 0.226, 0.239, 0.2554219881500986, 0.269, 0.302, 0.33357142857142863, 0.35886895810955943, 0.391, 0.424, 0.4711412024269167, 0.512, 0.609, 0.7232023809523807, 0.826, 0.916, 1.004, 1.107, 1.1757585034013602, 1.228, 1.289, 1.334, 1.392253401360544, 1.4410608953258723, 1.476, 1.514, 1.569, 1.59, 1.633, 1.664, 1.696, 1.728, 1.759, 1.792, 1.828, 1.8501326530612245, 1.878, 1.9096348012889366, 1.9384718367346938, 1.959421768707482, 1.988487647690655, 2.019]",1.2,25,-2.4,2.341,2.324
11,"[0.096, 0.10352524167561775, 0.113, 0.127, 0.14687981859410476, 0.162, 0.178, 0.1914880952380956, 0.206, 0.223, 0.236, 0.2534092373791622, 0.26937175951461667, 0.295, 0.326, 0.355, 0.381, 0.421, 0.452, 0.5134006444683139, 0.57, 0.704, 0.827, 0.904, 1.006, 1.109, 1.157, 1.233, 1.287, 1.330325947521866, 1.3846452119309265, 1.4346972789115648, 1.464, 1.513, 1.551, 1.588, 1.633, 1.663, 1.694, 1.725370831259333, 1.758, 1.784486530612245, 1.824, 1.8485889212827993, 1.88, 1.904, 1.936, 1.9604200680272112, 1.986, 2.018]",1.2,25,-2.4,2.341,2.323
