Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.097, 0.106, 0.12, 0.14188435374149644, 0.165, 0.17973155416012557, 0.1998010204081633, 0.21355952380952395, 0.229, 0.24483673469387762, 0.26, 0.27568027210884366, 0.291, 0.306, 0.3224920634920635, 0.3536260932944606, 0.3804332810047096, 0.4152278911564627, 0.4581181972789116, 0.497, 0.553, 0.682126984126984, 0.811, 0.899, 1.0420236305048336, 1.135, 1.204, 1.2529481292517006, 1.313, 1.3588513119533534, 1.418, 1.4537636054421772, 1.498, 1.538, 1.583, 1.612, 1.662, 1.686, 1.7312751020408166, 1.76, 1.801, 1.828, 1.8581904761904766, 1.886, 1.9162908163265306, 1.9455436734693878, 1.976, 2.002, 2.028626208378088, 2.056]",1.2,25,-2.4,2.376,2.362
3,"[0.099, 0.107, 0.124, 0.145, 0.1647645772594752, 0.185, 0.203, 0.217, 0.232, 0.24683673469387762, 0.2623221574344024, 0.279, 0.293, 0.309, 0.338, 0.36, 0.386, 0.423, 0.468, 0.505302982731554, 0.580047309833024, 0.687, 0.8121181525241675, 0.9379497645211934, 1.048, 1.1430290010741142, 1.216, 1.259, 1.3134771428571428, 1.3664715359828143, 1.405, 1.467, 1.513, 1.5502946938775513, 1.577, 1.6259523809523813, 1.661, 1.7023566058002149, 1.735, 1.7711075565361278, 1.8045081632653064, 1.832431972789116, 1.866, 1.892091560948704, 1.92, 1.949, 1.977, 2.006, 2.032, 2.059]",1.2,25,-2.4,2.376,2.359
4,"[0.099, 0.11, 0.126, 0.147, 0.165, 0.184, 0.19786224489795942, 0.217, 0.233, 0.251, 0.26442725477287693, 0.27957456828885396, 0.296, 0.31489183673469384, 0.3334725274725274, 0.362, 0.386, 0.4202189239332096, 0.4664200680272107, 0.507, 0.593, 0.714, 0.8301975510204082, 0.937, 1.044, 1.143, 1.207, 1.257704357418643, 1.324, 1.363, 1.429, 1.467079931972789, 1.508, 1.545, 1.581, 1.6290451127819547, 1.661, 1.7025139146567714, 1.7359608843537409, 1.7729727891156462, 1.805, 1.834, 1.8666190476190476, 1.897, 1.923, 1.948, 1.979, 2.005, 2.039, 2.058]",1.2,25,-2.4,2.373,2.359
5,"[0.099, 0.11, 0.13480952380952382, 0.15081318681318703, 0.173, 0.186, 0.20437012987012979, 0.2184166666666667, 0.237, 0.25, 0.266, 0.2796171428571428, 0.301, 0.314, 0.33768421052631586, 0.366, 0.399, 0.424, 0.469, 0.501, 0.5933257142857142, 0.71, 0.8261503759398496, 0.946, 1.05, 1.136, 1.217, 1.2701479591836735, 1.324108108108108, 1.371, 1.4261318681318684, 1.4651746031746031, 1.506, 1.5474514285714287, 1.587, 1.636, 1.664, 1.702, 1.735, 1.765, 1.8030676691729326, 1.833, 1.859, 1.897, 1.919, 1.9521309523809522, 1.978, 2.005, 2.030010989010989, 2.057]",1.2,25,-2.4,2.371,2.357
6,"[0.101, 0.11164214523018512, 0.1362015306122447, 0.15487346938775498, 0.175, 0.189, 0.207, 0.223, 0.237, 0.252, 0.26628191741813, 0.281, 0.29590670553935805, 0.3154783673469387, 0.339, 0.366, 0.401, 0.43, 0.46883838940981803, 0.519, 0.6030853920515574, 0.7401142857142857, 0.864, 0.9590081632653059, 1.061, 1.1560235478806904, 1.211, 1.266, 1.324, 1.383, 1.433, 1.473, 1.5145024820739106, 1.559, 1.5952346938775515, 1.63, 1.6664816326530614, 1.7036368547418967, 1.749, 1.768, 1.806, 1.834, 1.86, 1.9, 1.924498388829216, 1.955, 1.98, 2.006, 2.034, 2.059]",1.2,25,-2.4,2.372,2.357
7,"[0.101, 0.10892897959183669, 0.129, 0.149, 0.172, 0.187, 0.2058622448979594, 0.218, 0.237, 0.25, 0.2650408163265305, 0.281, 0.29864115646258493, 0.31283673469387746, 0.3411660231660232, 0.365, 0.391, 0.4255412801484229, 0.468, 0.5112847866419296, 0.608, 0.725, 0.845, 0.954, 1.0561355102040815, 1.154, 1.2162205398288348, 1.271, 1.325, 1.367969387755102, 1.4370193340494093, 1.474, 1.516, 1.553, 1.593, 1.633, 1.666905416012559, 1.705, 1.744, 1.7737017774851878, 1.7979990723562151, 1.837, 1.860732718894009, 1.901, 1.923, 1.956, 1.981, 2.00862925170068, 2.034, 2.059]",1.2,25,-2.4,2.372,2.355
8,"[0.101, 0.11192897959183669, 0.129, 0.153, 0.169, 0.188, 0.205, 0.21863095238095268, 0.23367660910518076, 0.25, 0.264, 0.278, 0.296, 0.31, 0.334, 0.362, 0.392, 0.429, 0.474752551020408, 0.518, 0.605, 0.7114126984126984, 0.844, 0.958, 1.058, 1.146, 1.2168334430546413, 1.2735015306122448, 1.33, 1.371, 1.437, 1.474, 1.515, 1.552, 1.595, 1.6340306122448978, 1.67, 1.6969322448979591, 1.745843537414964, 1.7688702040816326, 1.807, 1.8358503401360546, 1.8674920634920633, 1.8903933209647497, 1.925, 1.948, 1.977, 2.005, 2.041, 2.057]",1.2,25,-2.4,2.369,2.355
9,"[0.099, 0.11227633756205188, 0.129, 0.15, 0.168, 0.187, 0.204, 0.21826190476190535, 0.2339452690166976, 0.251, 0.26476979591836736, 0.281, 0.291, 0.316, 0.3380089285714286, 0.365, 0.39, 0.429, 0.461, 0.524, 0.5921836734693877, 0.7451547619047618, 0.8570881261595548, 0.947, 1.06, 1.156, 1.221230568823274, 1.271, 1.328, 1.378, 1.433, 1.475, 1.512, 1.5634563265306123, 1.588, 1.616, 1.6468401360544216, 1.6804522448979589, 1.712660482374768, 1.753, 1.786, 1.813, 1.8452380952380945, 1.8766656200941914, 1.8987397959183667, 1.9285194206714944, 1.96026166180758, 1.9858220408163263, 2.0175775510204073, 2.039]",1.2,25,-2.4,2.346,2.355
10,"[0.1, 0.111, 0.13, 0.151, 0.17, 0.18746310832025115, 0.20480102040816328, 0.217, 0.234, 0.246, 0.263, 0.278, 0.29524897959183666, 0.31, 0.339, 0.3605655036208032, 0.391, 0.427, 0.474, 0.509, 0.6020867346938774, 0.7430952380952379, 0.8541181525241675, 0.943, 1.0650345368916798, 1.157, 1.216, 1.262, 1.326, 1.371358367346939, 1.436, 1.472, 1.516, 1.560334879406308, 1.593, 1.631, 1.6678290126861557, 1.697521193092622, 1.74, 1.768, 1.8043908948194665, 1.8337273469387756, 1.8560952380952385, 1.8892605965463112, 1.918, 1.949, 1.977, 2.004, 2.03, 2.056]",1.2,25,-2.4,2.368,2.353
11,"[0.1, 0.108, 0.129, 0.149, 0.168, 0.18656242496998798, 0.202, 0.218, 0.232, 0.251, 0.264465677179963, 0.28, 0.297, 0.31083673469387746, 0.339, 0.359, 0.397, 0.428, 0.471, 0.521, 0.5981395918367347, 0.7487714285714285, 0.8471975510204082, 0.956, 1.046, 1.1524013605442176, 1.2203641245972072, 1.2782812244897959, 1.326, 1.371, 1.433, 1.469, 1.508, 1.549, 1.59, 1.6285142857142856, 1.665, 1.701, 1.734, 1.77, 1.8024536178107606, 1.83, 1.857, 1.891, 1.919994434137291, 1.950196840026333, 1.974860544217687, 2.003, 2.032, 2.054]",1.2,25,-2.4,2.364,2.352
