Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.103, 0.121, 0.14311054421768704, 0.166, 0.185, 0.205, 0.221061224489796, 0.235, 0.253, 0.268, 0.281, 0.299, 0.3118925886143933, 0.332, 0.353, 0.373, 0.4061444897959184, 0.43724438775510216, 0.4765575510204082, 0.5250955473098332, 0.585, 0.697, 0.8301972789115666, 0.943812925170068, 1.023, 1.1215547798066596, 1.199, 1.259, 1.308, 1.353, 1.415376766091052, 1.457291310072416, 1.495, 1.53, 1.5782776584317937, 1.612, 1.649, 1.6810850340136057, 1.7210065832784727, 1.752, 1.778, 1.8066955782312928, 1.8402371428571431, 1.8677905477980667, 1.901, 1.93, 1.951, 1.98, 2.008, 2.033]",1.2,25,-2.4,2.348,2.358
3,"[0.104, 0.1246583090379008, 0.1443605442176875, 0.16596343537414956, 0.186, 0.206, 0.223, 0.23752380952380955, 0.256, 0.269, 0.283, 0.298301749271137, 0.31341496598639507, 0.335, 0.356, 0.37544573283859, 0.411, 0.43669557823129257, 0.47390266875981146, 0.5182625231910947, 0.602, 0.73, 0.8435748299319726, 0.942, 1.031, 1.1192282003710576, 1.2068658892128281, 1.264010204081633, 1.313, 1.373, 1.42, 1.459050612244898, 1.5001773940345369, 1.5339455782312923, 1.586, 1.619, 1.653, 1.6848084772370486, 1.7173020408163264, 1.7475565361279648, 1.781, 1.8114455782312922, 1.8437485714285713, 1.8750343228200375, 1.905, 1.926, 1.956, 1.9862131519274369, 2.013, 2.037]",1.2,25,-2.4,2.35,2.359
4,"[0.106, 0.125, 0.148, 0.171, 0.188, 0.205, 0.224, 0.23889610389610388, 0.2584456879526005, 0.273, 0.285, 0.3023122448979592, 0.313, 0.337, 0.356, 0.378, 0.411, 0.4369557823129252, 0.483, 0.52, 0.605, 0.740126984126984, 0.845, 0.96, 1.04, 1.137, 1.2177653061224492, 1.25, 1.318, 1.3752383673469388, 1.424, 1.465, 1.505, 1.538, 1.5885787755102043, 1.623, 1.655795918367347, 1.6899897959183674, 1.726, 1.759, 1.785, 1.8159092970521542, 1.849, 1.881, 1.909, 1.932, 1.961, 1.986, 2.0152680890538033, 2.041]",1.2,25,-2.4,2.352,2.36
5,"[0.107, 0.123, 0.15, 0.173, 0.1906802721088436, 0.20848442534908695, 0.2240408163265312, 0.24, 0.256, 0.27222986036519864, 0.286, 0.302, 0.3156195918367348, 0.338, 0.3590439560439561, 0.378, 0.41106612244897944, 0.43962352309344793, 0.4805782312925166, 0.536, 0.616, 0.748, 0.852, 0.964, 1.041, 1.137, 1.193, 1.267, 1.323, 1.368, 1.428, 1.468, 1.507177394034537, 1.540297052154195, 1.593, 1.6209081632653062, 1.657, 1.6893775510204074, 1.7214195011337867, 1.75, 1.7877193877551023, 1.8148290126861555, 1.8497485714285713, 1.8812888540031398, 1.9113163265306123, 1.933, 1.962156462585034, 1.987, 2.013, 2.043]",1.2,25,-2.4,2.353,2.36
6,"[0.109, 0.128, 0.149, 0.17, 0.191, 0.20536734693877515, 0.226, 0.23984555984555986, 0.26, 0.274174693877551, 0.287, 0.302, 0.31636598639455793, 0.338, 0.36, 0.38002448979591846, 0.40912715855572973, 0.44, 0.478, 0.535, 0.6154363265306122, 0.7499857142857143, 0.8427664399092971, 0.9605388858246001, 1.047282798833819, 1.1326004081632652, 1.2214662480376768, 1.2716465014577258, 1.32, 1.3687617209045781, 1.4290644468313642, 1.47, 1.509, 1.543, 1.582, 1.626, 1.6576841171251109, 1.691, 1.719, 1.761, 1.789, 1.8194727891156464, 1.851467857142857, 1.882, 1.914, 1.938, 1.965, 1.99, 2.015598367346939, 2.044]",1.2,25,-2.4,2.355,2.359
7,"[0.107, 0.124, 0.153, 0.172, 0.19444217687074822, 0.213, 0.229, 0.242, 0.261, 0.275, 0.289, 0.306, 0.316, 0.34, 0.362, 0.382, 0.414, 0.45, 0.4890253723110866, 0.538, 0.6087827518104015, 0.735, 0.853, 0.976, 1.054, 1.1494489795918368, 1.2219244897959185, 1.277, 1.326, 1.374, 1.435222634508349, 1.4773568136932194, 1.516, 1.555, 1.6030572745227123, 1.635, 1.667, 1.6991133786848076, 1.737, 1.769, 1.797, 1.8245092322643346, 1.857, 1.890001275510204, 1.919, 1.949, 1.97, 2.001, 2.021833469387755, 2.049]",1.2,25,-2.4,2.357,2.358
8,"[0.107, 0.125, 0.153, 0.176, 0.192, 0.21270800627943473, 0.22876020408163267, 0.2427714285714286, 0.26, 0.27560619803476943, 0.289, 0.305, 0.319, 0.34, 0.362, 0.38305102040816347, 0.415, 0.442, 0.4872630385487527, 0.5426197636949517, 0.62, 0.76, 0.8655748299319727, 0.963, 1.047, 1.151, 1.2234662480376768, 1.277, 1.329, 1.374, 1.4350644468313642, 1.476, 1.5141773940345369, 1.5486831875607383, 1.5864955102040816, 1.6324797843665768, 1.663, 1.697, 1.737188775510204, 1.769, 1.7964387755102043, 1.824, 1.858, 1.891, 1.92, 1.945, 1.971, 1.997, 2.025, 2.05]",1.2,25,-2.4,2.358,2.358
9,"[0.11, 0.135, 0.155, 0.174, 0.1927210884353741, 0.213, 0.22939918367346934, 0.244, 0.263, 0.275, 0.2906258503401365, 0.306, 0.32, 0.341, 0.36138095238095247, 0.386, 0.414, 0.454, 0.491078231292517, 0.545, 0.622, 0.761, 0.8597993197278915, 0.964, 1.054791836734694, 1.1518432653061226, 1.2207111459968607, 1.276, 1.330547619047619, 1.3911224489795921, 1.436544217687075, 1.476, 1.517, 1.554, 1.595, 1.634, 1.665, 1.701, 1.741, 1.7700204081632656, 1.7980695732838594, 1.824, 1.86, 1.8916938775510204, 1.922, 1.945, 1.9762517006802733, 2.0009397031539886, 2.023833469387755, 2.051]",1.2,25,-2.4,2.357,2.357
10,"[0.11, 0.13655782312925166, 0.154, 0.17630060672917813, 0.194, 0.21370800627943473, 0.23061632653061226, 0.244, 0.261, 0.2747387026239067, 0.29, 0.308, 0.318, 0.34181740064446836, 0.3620439560439561, 0.385, 0.42106612244897945, 0.4444738775510204, 0.486, 0.548, 0.626, 0.762, 0.873, 0.9638192419825073, 1.054, 1.1514742212674545, 1.224, 1.279010204081633, 1.334, 1.375, 1.437, 1.479, 1.5240922448979592, 1.5513066740209596, 1.6031651700680272, 1.631, 1.666, 1.6998084772370485, 1.738, 1.765, 1.7974387755102041, 1.826, 1.8595164835164835, 1.893, 1.9202108843537415, 1.9438861439312567, 1.9716250944822373, 1.996, 2.023598367346939, 2.052]",1.2,25,-2.4,2.358,2.356
11,"[0.109, 0.136, 0.1548524332810049, 0.1774448979591837, 0.193, 0.21236734693877515, 0.231, 0.244, 0.264, 0.279, 0.29024489795918385, 0.307, 0.321, 0.34115928322548533, 0.363, 0.386, 0.42006612244897945, 0.444, 0.487, 0.535, 0.631, 0.767, 0.857, 0.962, 1.053, 1.1428367346938781, 1.222, 1.28, 1.335, 1.381, 1.437, 1.479, 1.518, 1.5511909620991253, 1.6003348041919472, 1.636, 1.666, 1.7, 1.7396292517006797, 1.759, 1.7978596938775513, 1.828, 1.861, 1.8922888540031397, 1.921, 1.947, 1.971, 2.004, 2.0215983673469387, 2.051]",1.2,25,-2.4,2.358,2.357
