Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity
2,0.5,1,45,"[0.0, 32.31321615257423, 68.1547210342037, 105.72743304705114, 146.37044280283055, 190.2752484588682, 239.33860797350906, 296.78853139622095, 358.47484318988325, 419.32660273159377, 479.05869334869476, 535.2129585225227, 590.6094687733632, 643.5614854997018, 695.5117552672275, 747.8028809512421, 799.3337355557858, 848.2651822665005, 894.748489024247, 938.4866311285346, 979.60064026333, 1019.0912992465726, 1057.251997279432, 1094.4191246122512, 1131.1275997064579, 1167.2254101367278, 1203.673058554409, 1239.739813261154, 1276.4628690089871, 1313.4247144529816, 1350.8876854263513, 1389.7247012800844, 1428.6686596967875, 1468.6814741168355, 1509.1425604854508, 1550.2242831941894, 1591.4776030134021, 1632.1292707432767, 1672.857283821089, 1712.001283977118, 1749.0453683038027, 1785.428818530132, 1820.3273253672737, 1853.5380464265427, 1885.9649290417497, 1916.9420118504636, 1947.6907813320431, 1978.0967245200318, 2008.6151850748447, 2030.9985008985745]","[4.1864829, 4.1834898, 4.1814814, 4.1800246, 4.178764299999999, 4.177701, 4.1770711, 4.1764016, 4.1756926, 4.17522, 4.174668799999999, 4.1742749, 4.1738811, 4.173526799999999]",3326.851462516412
3,0.5,1,45,"[0.0, 28.969141967988435, 64.51326982013677, 102.42318430076477, 142.63008249004372, 185.9350716242219, 235.42985189859803, 292.6180527051441, 354.20523726360443, 414.65126479634534, 473.6468850737966, 531.1865254719563, 586.2414303056208, 638.8075710018924, 690.5347700713561, 743.0386286339366, 793.5885090234723, 842.3983479146194, 888.8141846800335, 932.8839974194474, 973.5418333962497, 1013.272152293512, 1051.4419885073207, 1088.7960420846116, 1124.7920267919048, 1161.4199868783862, 1197.1301615339416, 1233.741380582168, 1269.9414823959746, 1307.2817015592445, 1345.6053736923818, 1383.727309640115, 1422.2102969370858, 1461.995155317722, 1502.6677756393983, 1544.2023690132764, 1585.2464264197451, 1626.13476939375, 1666.398013949326, 1705.5655831658987, 1743.2287774922688, 1779.0350748874293, 1813.6716481577228, 1846.7702439559798, 1878.776158930239, 1910.509042339204, 1941.0546268551816, 1971.3559244185576, 2001.8288116711888, 2031.4313229536265]","[4.1864433, 4.1833324, 4.181324, 4.179827700000001, 4.1787248, 4.1778979, 4.1769919, 4.176243799999999, 4.1757321, 4.1750627, 4.1747079, 4.174235299999999, 4.1738811, 4.1734872]",3321.963772873266
4,0.5,1,45,"[0.0, 23.58499670353706, 59.53277759400635, 97.01981139417012, 137.3584500651432, 180.44534245769603, 229.20085662364806, 286.76764778947825, 347.4250390718181, 409.06196676772083, 468.2153385076783, 525.2720847308763, 579.8058498138969, 632.3849350946616, 684.5653065628458, 736.4244688919043, 787.0312548008692, 835.8827274252819, 882.0128618203366, 925.3448437989821, 966.8756896904383, 1006.4037737962472, 1044.2639103547192, 1081.5968987814974, 1117.4644980694668, 1154.026518465559, 1190.0029273649395, 1226.5213727511148, 1263.1857191182564, 1299.8502199742993, 1337.3911043301937, 1375.9646755129393, 1414.2333324863528, 1455.0457821136818, 1495.554630664593, 1536.3732205096583, 1578.104599961938, 1619.2462653247906, 1659.1748444742823, 1698.0346558562203, 1735.5987229351351, 1771.7464229855284, 1806.340137688211, 1839.6268882371853, 1871.3982470846943, 1902.7994536552912, 1933.4554118765247, 1963.8582334891141, 1994.3423653672974, 2016.3334280956358]","[4.186286, 4.1833324, 4.1812453000000005, 4.179788100000001, 4.1784887, 4.1775827, 4.1769133, 4.1760468, 4.175574299999999, 4.1750231, 4.174511, 4.1741567, 4.1737237, 4.1732903]",3316.766288996036
5,0.5,1,45,"[0.0, 29.46780868598546, 64.70817335585957, 102.53845071805881, 142.1460897281438, 185.04101692623294, 233.61468359937908, 291.13437846225884, 351.24879767070706, 412.5051135938231, 472.3365933198627, 529.6652383563253, 584.9211026676655, 637.5183512522378, 688.9890790503907, 739.7315676039536, 791.0263261766461, 839.566640101325, 885.5919841497139, 929.1402230063925, 970.0515764732966, 1010.0164641313147, 1047.600843628278, 1084.7219756738666, 1120.8721522873393, 1156.9312180294248, 1193.1348751237413, 1229.473299344401, 1266.0211907149203, 1303.2512779014212, 1340.6314670068014, 1379.0290321911655, 1417.9411193578428, 1457.280684730816, 1498.1871587670273, 1539.498832181703, 1580.5374324949237, 1621.7162195115313, 1662.0115667768775, 1701.1474580530983, 1738.7842650748069, 1774.7263002073394, 1808.9127297126226, 1842.1012247208084, 1874.1680670347334, 1905.467418421157, 1936.1533570377403, 1966.4179090376163, 1996.7263902336201, 2016.709932067329]","[4.1863647, 4.183411100000001, 4.1813636, 4.1798668, 4.178764299999999, 4.1776223, 4.1769919, 4.1763225, 4.1757321, 4.175101799999999, 4.1746292, 4.174235299999999, 4.173999299999999, 4.1734872]",3312.3570420308424
6,0.5,1,45,"[0.0, 23.4420431992055, 59.26577800326504, 95.99439059966278, 136.03641862001882, 179.47234602703236, 227.12651972159415, 284.05992042752405, 344.6910685676454, 405.56197926497396, 465.67650292868063, 522.5025688937063, 577.1749360196324, 629.9404918044321, 681.8572331442869, 732.5767999208884, 783.048695242063, 831.4990448793482, 877.3484726955243, 921.2975522123721, 962.147480727842, 1001.7755589018512, 1039.4770407735477, 1076.1078175708649, 1112.8416127336263, 1148.9331639326824, 1184.4487470440308, 1221.075644162193, 1257.5718999446467, 1294.9014876759647, 1332.174107718426, 1370.527848107814, 1409.689030700648, 1449.4439115024056, 1489.5169902006078, 1530.6564081260467, 1572.037563226561, 1613.1262904065916, 1653.4071876366615, 1692.591759754061, 1729.8587607376007, 1766.3880676136546, 1800.1558403113795, 1833.393944729151, 1865.6239967944225, 1896.7649400730074, 1927.377155519458, 1957.6927557021418, 1987.9735226147372, 2015.4668970775697]","[4.1862464, 4.183372, 4.1814027000000005, 4.1797485, 4.1786857, 4.1776614, 4.176834599999999, 4.1762047, 4.1755352, 4.1751413, 4.1745896, 4.1741171, 4.1737237, 4.1733689]",3307.618786746691
7,0.5,1,45,"[0.0, 35.41987434474447, 71.42620456589952, 107.43320590401277, 147.61437877031415, 190.3067933070248, 238.70435011459222, 295.001324131767, 356.28732251479767, 417.134174363253, 476.93336780593665, 533.5898444645965, 588.7715902560716, 640.5128441125322, 693.2095546151955, 743.7975231315339, 794.1111607323913, 842.3416663008146, 888.2455397066143, 931.6081803008946, 973.0642097326464, 1011.7709221275583, 1050.0115845089886, 1086.4629984140083, 1122.6729431483946, 1158.881955500036, 1194.7132525344396, 1230.9857885959132, 1267.8501709274065, 1304.6386603950864, 1342.0938056204473, 1380.6330152111195, 1419.7451441491398, 1458.8092794884878, 1499.368038156248, 1540.77734442655, 1582.1950735729001, 1622.901245866704, 1662.9718935236765, 1702.4749867289834, 1739.8846616335718, 1776.4462011430296, 1810.4783258697285, 1843.181139199311, 1875.3650674006203, 1906.317987464853, 1937.11846575457, 1967.258919224484, 1997.4766017163233, 2015.5833003805196]","[4.1862464, 4.1832142, 4.1812844, 4.1797094, 4.1787248, 4.1775436, 4.176794999999999, 4.1760468, 4.1753774, 4.1751804, 4.1744719, 4.1741962, 4.1736841, 4.1734872]",3303.252821162922
8,0.5,1,45,"[0.0, 31.795849617713316, 67.48945556774879, 103.76574853732518, 144.0057156933235, 186.82464133634608, 234.5130110425772, 290.7735712986291, 351.6508635007267, 413.00974589544114, 472.7443942181686, 529.6772166012164, 583.9828732703426, 636.9915632153733, 688.5374081892675, 738.5941234550045, 789.093575979004, 837.8505312989481, 883.4199282253202, 926.8243762935457, 967.3499137430823, 1006.8180256856814, 1044.8218740925963, 1081.6352328685193, 1117.9082500538934, 1153.4140367085474, 1189.773505021923, 1225.6835461948722, 1262.3852179572318, 1299.3089301303066, 1336.9486802828128, 1375.0919639534227, 1414.0871939445005, 1453.8166251847288, 1494.2955067116159, 1535.7519251372478, 1577.186274197822, 1618.220841955791, 1658.061183596792, 1697.369770347027, 1734.8269425855365, 1770.8492418579367, 1805.1243982767955, 1838.427334401687, 1869.9516163635744, 1901.1422763489782, 1931.5828427609354, 1961.7597796951736, 1992.1320824746867, 2014.7076725453721]","[4.1864042, 4.1832142, 4.1812453000000005, 4.1798668, 4.1786065, 4.1775436, 4.176794999999999, 4.1762047, 4.175456, 4.1750231, 4.1745896, 4.174235299999999, 4.1736445, 4.1734872]",3298.770624733073
9,0.5,1,45,"[0.0, 26.584689204498318, 62.1031909453759, 98.36931232255006, 138.40032159614623, 181.25865205914295, 228.03467960007947, 284.8911895524276, 346.19073818881884, 406.8871214043678, 466.3489433139788, 524.2703389650773, 577.6742415072134, 630.3933260277034, 681.6884977915682, 731.951837914792, 782.1120070885748, 830.952216767084, 876.6010463537485, 919.2371261096524, 960.7932614587527, 999.9009893495166, 1037.9023936995513, 1074.1448377513252, 1110.4096098629666, 1146.4481291609377, 1182.264266552489, 1218.3449005276293, 1254.5856089920067, 1291.5137983521681, 1329.1812477750486, 1367.2718305461153, 1406.8324810437234, 1446.5872885949857, 1487.1076585098267, 1528.1972972880408, 1569.4440852664375, 1610.2908270999646, 1650.8577467977784, 1689.5180216886738, 1726.9953956309719, 1763.2200843670234, 1797.3954530448818, 1830.3205676086168, 1862.408433180436, 1893.600477705465, 1924.002945704823, 1954.1436230540771, 1984.3417807387605, 2001.4643171623402]","[4.1862464, 4.183135500000001, 4.1812057000000005, 4.1796308, 4.178410100000001, 4.1774254, 4.1767163, 4.1760468, 4.1754169, 4.174904799999999, 4.1744719, 4.1741567, 4.1735659, 4.1732903]",3294.187497086726
10,0.5,1,45,"[0.0, 35.80740201347294, 71.23047096693347, 107.82393849957145, 147.023886688601, 189.6613894862013, 237.1550777332145, 292.8823098271504, 353.6436591078233, 414.9843621490221, 474.045533201867, 531.3677121598772, 586.3595521521405, 638.6364006781811, 689.6623374622485, 740.0759700602147, 790.506073952589, 838.0269327811624, 883.7337605811446, 927.0413444487641, 967.8852266608259, 1007.2407904939336, 1044.8171373019945, 1081.4581905807058, 1117.743431904616, 1153.4856646182188, 1189.5437550897623, 1225.7903103114281, 1261.815122332619, 1298.7348264312868, 1336.2692541011247, 1374.042560485163, 1413.5051566555753, 1453.1031194547377, 1493.7172985410675, 1534.5683102625326, 1576.2047840755617, 1617.1257954141233, 1657.118195302362, 1696.284574422707, 1734.273686341789, 1769.8942352739937, 1804.0867142542793, 1837.3749897063035, 1868.8706439164362, 1900.034281530191, 1930.5096523871293, 1960.6004332369407, 1990.8776385342935, 2015.248926738146]","[4.1862464, 4.1832142, 4.1812057000000005, 4.1798668, 4.1785278, 4.1776223, 4.176874199999999, 4.1762047, 4.175613899999999, 4.1749835, 4.1745505, 4.173999299999999, 4.1737628, 4.1734476]",3289.970366664632
11,0.5,1,45,"[0.0, 29.224000455994656, 64.61400150316717, 101.12198629905959, 140.90438783174318, 183.05398227567605, 229.81575781342337, 286.08256935806594, 347.33122998885153, 407.91632402897153, 466.68328584129335, 524.4052101407356, 579.1104586473682, 631.4492466803299, 682.7659479564468, 732.4477523817175, 782.3265724525622, 830.2448789569112, 876.0884036018329, 919.4274433251821, 959.9492373123105, 998.8619405766262, 1036.8041966795342, 1073.2247076040019, 1109.064878505612, 1145.347638583473, 1181.0987493927444, 1217.064931637376, 1253.3863779343603, 1290.2261488156187, 1327.9842572582272, 1366.0134272093956, 1405.0355809052865, 1444.740818494246, 1485.389742163069, 1526.356636343336, 1567.6603572887448, 1608.5329128159115, 1648.7702886573857, 1688.0121075052402, 1725.993741669423, 1761.6002463083146, 1795.7583658870444, 1828.7826215934924, 1860.5684728941073, 1891.5440154049743, 1922.0213184971626, 1952.1463681905589, 1982.2101683928277, 2000.343292931112]","[4.1861677, 4.183175100000001, 4.1812453000000005, 4.1796699, 4.1786461, 4.177701, 4.1767163, 4.1761651, 4.1754956, 4.1750627, 4.174432299999999, 4.1741962, 4.1738415, 4.1733689]",3285.795442538521
