Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity
2,0.5,1,25,"[0.0, 26.451514809520745, 55.47336246833913, 88.55187175888523, 132.13380461768384, 192.61407584540927, 260.16630938038907, 326.2899648237865, 387.08503792668114, 443.85180598527813, 494.8900223820086, 541.5145685856144, 584.4548416231496, 623.6644587134558, 659.6638117999382, 693.3775229703108, 725.1359579470102, 754.6782955210203, 783.5770185538629, 811.5789521088229, 839.2562051069663, 867.1099526828882, 895.5934913240637, 925.2945540407204, 955.189060960595, 985.7240835980172, 1016.8143012982305, 1048.6021602783344, 1080.561259746519, 1113.7674525946313, 1148.0368666617444, 1183.6713737565672, 1219.3519575906193, 1254.3064320174308, 1286.8913959866634, 1316.7952654630806, 1344.2192562980774, 1369.6575525100234, 1394.1360716942245, 1417.5418304095058, 1440.5135407198366, 1463.1614049448956, 1485.9995278609135, 1509.1623741080991, 1532.5119793375422, 1557.4752751777025, 1584.267208771941, 1617.3632113425426, 1665.9650159222872, 1717.456672865874]","[4.1959534000000005, 4.194811799999999, 4.1941028, 4.1933546, 4.1926851, 4.1922126, 4.1916218, 4.1912279, 4.1909523, 4.1903224, 4.189928500000001, 4.189692, 4.1892195, 4.1891408, 4.1888256, 4.1884713, 4.1881566, 4.1878805, 4.187723200000001, 4.1874871, 4.1872506000000005, 4.186975, 4.186620700000001, 4.1864629, 4.1863842, 4.1862659, 4.1860299, 4.1857934000000006, 4.1856756, 4.1853995, 4.1852422, 4.1849666, 4.184927, 4.184927, 4.1848092, 4.184691, 4.184494, 4.1844544, 4.1843758, 4.1842184, 4.1839032, 4.1838641, 4.1836672, 4.183784999999999, 4.1835885, 4.1834702, 4.1834702, 4.1831946, 4.1831946, 4.183036799999999, 4.183036799999999, 4.1828794, 4.1828008, 4.182682499999999, 4.182682499999999, 4.182642899999999, 4.182682499999999, 4.182446499999999, 4.1822495, 4.1821704, 4.182367299999999, 4.182131299999999, 4.1819739, 4.181934399999999, 4.1819739, 4.1819739, 4.1818161, 4.181776999999999, 4.1816192, 4.181461799999999, 4.1815801, 4.1814222, 4.1813831, 4.1813831, 4.1813436, 4.1812649, 4.1812649, 4.1811862, 4.1810284, 4.1810679, 4.180989299999999, 4.1810679, 4.1809497, 4.180831899999999, 4.1809106, 4.1807137, 4.180831899999999, 4.1807137, 4.180635, 4.1804771, 4.1805167, 4.1805954, 4.1804771, 4.1802802, 4.1803985, 4.1803985, 4.1803198, 4.1802411, 4.1800833, 4.1801624, 4.1802411, 4.1800833, 4.1799259, 4.1800442, 4.1800046, 4.1799655, 4.1799655, 4.1798077000000005, 4.1799259, 4.179729, 4.1798472, 4.1796503, 4.1796107000000005, 4.1796899, 4.179729, 4.1794534, 4.179729, 4.1794534, 4.1796107000000005]",2485.817101274686
3,0.5,1,25,"[0.0, 25.987336205091083, 55.36769412468357, 88.18789362740438, 131.46732709918183, 191.91289463432145, 259.96261532002165, 326.11655187621284, 386.39243323768187, 442.53962910408893, 494.41308229703395, 540.3892615420391, 583.2221686815524, 622.0742989167902, 658.2778198560422, 691.7707513056278, 723.3436516497068, 753.1735484857084, 782.073002049784, 810.1572557605891, 837.70462183972, 865.2457754781988, 894.1873525150597, 923.6995600650262, 953.6584754848698, 984.1294319121741, 1014.9425654572572, 1046.5394636429994, 1078.4264970481834, 1111.6189921202724, 1146.1141954369916, 1181.821186014102, 1217.6038783624674, 1252.6665080450782, 1284.7094184052107, 1314.2513400264213, 1341.6955858659117, 1367.509500552339, 1391.4561799332553, 1415.4756431705862, 1438.1264475878222, 1461.1495409463428, 1483.6001475252676, 1506.5035855083534, 1530.251234746079, 1554.950290258346, 1581.4154206462729, 1615.1862578876455, 1662.9051943529014, 1717.5522047589805]","[4.195796, 4.194654, 4.194142299999999, 4.193079, 4.1926064, 4.1920943, 4.1916218, 4.1910706, 4.1906371, 4.1901255, 4.1899676, 4.1895742, 4.1890621, 4.1887865, 4.1884713, 4.1881957000000005, 4.1879201, 4.187723200000001, 4.1874080000000005, 4.1872110000000005, 4.1870933, 4.1868567, 4.1865025000000005, 4.1862268, 4.186069, 4.1859117, 4.185833000000001, 4.1855574, 4.1854391, 4.1852422, 4.1850452, 4.1849666, 4.1848092, 4.1848483, 4.1845336, 4.1844153, 4.184258, 4.1840215, 4.1839428, 4.183784999999999, 4.183784999999999, 4.1835093, 4.1834702, 4.1835093, 4.183312399999999, 4.1831551, 4.1831551, 4.183036799999999, 4.182919, 4.182919, 4.182682499999999, 4.1828008, 4.182682499999999, 4.1825252, 4.182446499999999, 4.182367299999999, 4.182131299999999, 4.182131299999999, 4.182131299999999, 4.1819739, 4.1820526, 4.1818557, 4.1818557, 4.181697799999999, 4.181737399999999, 4.1815405, 4.181501399999999, 4.1815405, 4.181461799999999, 4.1813045, 4.181461799999999, 4.1812253, 4.1813045, 4.1812253, 4.1810679, 4.1809106, 4.180989299999999, 4.1809106, 4.180792299999999, 4.180792299999999, 4.180871, 4.180792299999999, 4.1805558, 4.1807137, 4.1805558, 4.180635, 4.1805954, 4.1805167, 4.1802411, 4.1803594, 4.1801624, 4.1803594, 4.1802802, 4.1802411, 4.1803198, 4.1801229, 4.1800833, 4.1798863, 4.1798863, 4.1800046, 4.1798077000000005, 4.1798077000000005, 4.1797686, 4.1796503, 4.1798077000000005, 4.179729, 4.1795716, 4.1796899, 4.1796107000000005, 4.179729, 4.1793747, 4.179493, 4.1794534, 4.1793747, 4.1793351, 4.1793747, 4.1793351, 4.179296, 4.1792564]",2483.440275109999
4,0.5,1,25,"[0.0, 25.737687748172107, 55.1852525021925, 87.85958397786374, 131.5853393221463, 191.59606347083843, 259.74322032922237, 324.84031895664964, 386.3955265799965, 442.03365461822216, 493.0438644216324, 539.4868680449068, 581.6348417904193, 620.9560699332488, 656.5122263903619, 690.2322446357022, 721.609480147472, 751.877394579678, 781.0983456263074, 808.8891155865666, 836.245268428915, 863.816536707225, 892.4689393540685, 921.520448305892, 951.8346335441285, 981.9093198459024, 1013.1308291954739, 1044.5891883718919, 1076.6823831189454, 1109.9058938565813, 1144.553268101481, 1179.6843163119393, 1215.6191685828685, 1250.415910467288, 1282.604553802767, 1312.2414123289009, 1339.7488917429782, 1365.1017121960276, 1389.517618379541, 1412.8539007409518, 1435.972014434221, 1458.7362075810856, 1481.102901851294, 1504.1234068070921, 1527.6417542755898, 1552.4801019051783, 1578.8763824627158, 1612.552040905121, 1659.737906781711, 1714.0965970475268]","[4.1958747, 4.194811799999999, 4.1937089, 4.1931968, 4.1926064, 4.1921339, 4.1914644, 4.191031, 4.1906767, 4.1902041, 4.1897712, 4.1894951, 4.1892195, 4.1888256, 4.1884713, 4.1880383000000005, 4.1878414, 4.1878018, 4.1874080000000005, 4.1871719, 4.1870146, 4.1866994, 4.1864238, 4.1863055000000005, 4.1861873, 4.1860299, 4.185833000000001, 4.1857543, 4.1853995, 4.1852031, 4.1850452, 4.184927, 4.1849666, 4.1846514, 4.184494, 4.1843758, 4.184258, 4.1840611, 4.183981899999999, 4.1839428, 4.183784999999999, 4.1836672, 4.1836672, 4.183351999999999, 4.183351999999999, 4.1832733, 4.183312399999999, 4.183116, 4.183076399999999, 4.1828794, 4.1828794, 4.182682499999999, 4.1826038, 4.182682499999999, 4.1823282, 4.1823282, 4.1822886, 4.1822886, 4.1821704, 4.182013, 4.1819739, 4.1818557, 4.181894799999999, 4.181894799999999, 4.181697799999999, 4.1815801, 4.1816192, 4.1815405, 4.1815405, 4.1813436, 4.1812649, 4.1812649, 4.1811466, 4.1812649, 4.180989299999999, 4.180989299999999, 4.180989299999999, 4.1809106, 4.1809106, 4.1809106, 4.180792299999999, 4.1806741, 4.1806741, 4.1807528, 4.1805167, 4.180635, 4.1803985, 4.1803594, 4.180438, 4.180438, 4.1805167, 4.1803985, 4.1802411, 4.1802802, 4.1801229, 4.1800833, 4.1801229, 4.1801624, 4.1801229, 4.1798863, 4.1798863, 4.1798863, 4.1799259, 4.1798472, 4.1798472, 4.1797686, 4.1795716, 4.179729, 4.1795321, 4.179729, 4.1795716, 4.1796107000000005, 4.1795321, 4.1795321, 4.1795716, 4.1794534, 4.1794138, 4.179296, 4.179296]",2481.0545675358057
5,0.5,1,25,"[0.0, 29.075561890775134, 58.069216389446524, 91.06123803711648, 133.72443857562564, 193.61418167864758, 261.92908806041453, 327.2272748697949, 388.7582021806404, 444.1144160694446, 495.0892215686473, 541.2942031297817, 583.6028849373291, 622.2620115771136, 658.4734101115063, 691.6145019501379, 723.2502681356613, 753.4862565391908, 782.0869749173875, 810.1274385134649, 837.9762202966323, 865.4357437591344, 893.7116329983861, 922.717238303611, 952.6466887414991, 983.4679003128746, 1014.0557794209279, 1045.292558546265, 1077.7267938829823, 1110.7761860569958, 1144.9984445602122, 1180.5649353185918, 1216.4336195743808, 1251.1197599668972, 1283.3926164347326, 1313.1337127872694, 1340.3874443021332, 1366.169886078856, 1390.397476827232, 1413.7970689770464, 1436.9652510064948, 1459.280684461944, 1482.0120792607631, 1504.7675179359417, 1528.25670060745, 1552.7690086011467, 1580.0716863861117, 1613.0593813846112, 1661.0182843948955, 1714.1131886311823]","[4.1957569, 4.1946149, 4.1939058, 4.193315, 4.1927242, 4.191937, 4.1915431000000005, 4.1910706, 4.1907949, 4.1902041, 4.189889, 4.189456, 4.1891408, 4.1887078, 4.1884322, 4.1881957000000005, 4.1878414, 4.1878805, 4.187526200000001, 4.1870933, 4.187053700000001, 4.1866994, 4.1865811, 4.1863055000000005, 4.186069, 4.1859512, 4.1857147, 4.1856756, 4.1855178, 4.1852422, 4.1852031, 4.1850061, 4.1848092, 4.1847305, 4.1845727, 4.1843758, 4.1843758, 4.1841002, 4.1838641, 4.1838641, 4.1838641, 4.1836276, 4.1835489, 4.1834702, 4.183312399999999, 4.1832337, 4.183116, 4.183076399999999, 4.1829977, 4.1829581, 4.1828008, 4.182722099999999, 4.1827612, 4.1826038, 4.1825252, 4.1823282, 4.1821704, 4.1822886, 4.1821704, 4.1820917, 4.181934399999999, 4.1819739, 4.181894799999999, 4.1818161, 4.1818161, 4.181697799999999, 4.1815801, 4.1814222, 4.181501399999999, 4.1813831, 4.1813045, 4.1813045, 4.1810284, 4.1812253, 4.1811075, 4.1811075, 4.1809497, 4.1809106, 4.1810284, 4.180989299999999, 4.1809106, 4.180871, 4.1805558, 4.1806741, 4.1805954, 4.180438, 4.1805167, 4.1804771, 4.1803594, 4.1802802, 4.1803985, 4.180438, 4.1802411, 4.1802015, 4.1801624, 4.1801624, 4.1800046, 4.1800046, 4.1800442, 4.1799655, 4.1799259, 4.1799259, 4.1798077000000005, 4.1797686, 4.1798863, 4.1798077000000005, 4.1796107000000005, 4.179729, 4.1796899, 4.1796899, 4.1796107000000005, 4.1795321, 4.1794138, 4.1795321, 4.1794138, 4.179493, 4.1794138, 4.1792564, 4.1792564]",2478.6294551346828
6,0.5,1,25,"[0.0, 28.011972545695585, 56.891137392605856, 89.4019423666789, 132.54068089441466, 193.04530334889023, 260.4706882698349, 326.32399179590755, 386.3883038852207, 442.1218541763325, 493.1957135772233, 538.9717094411016, 581.9883256716729, 620.2855009363585, 656.0723761992753, 689.4871595780852, 720.9498040060754, 751.1338850068479, 780.2198736436375, 808.0692313767694, 835.6695267120111, 863.001038422217, 891.203426875116, 920.322184652595, 950.6509655188989, 980.8054308733489, 1011.6858271345076, 1043.3576822297432, 1075.2133927271893, 1108.0559728866629, 1142.543494228676, 1178.2156792494693, 1213.7220638366998, 1248.840651059183, 1280.3296849247158, 1310.3619627558824, 1337.5842948243198, 1363.2767893347782, 1387.8182383119047, 1411.2447187810121, 1433.9974153062776, 1456.5799431871915, 1479.1431171734234, 1502.1732351985106, 1525.7021673390873, 1550.081748730884, 1576.9957422278803, 1609.764551495441, 1657.0518512151225, 1710.6314973332364]","[4.196071599999999, 4.1947722, 4.1939845, 4.1932759, 4.1925278, 4.1921339, 4.1915431000000005, 4.1910706, 4.1906767, 4.190243700000001, 4.189928500000001, 4.1894951, 4.1891804, 4.1888256, 4.1885109, 4.1882353, 4.1880774, 4.1875658, 4.1874080000000005, 4.1873293, 4.1869354, 4.186778100000001, 4.1865811, 4.1864238, 4.186069, 4.1859512, 4.1857147, 4.1857147, 4.1854391, 4.185320900000001, 4.1849666, 4.1848483, 4.1848092, 4.1847305, 4.1845727, 4.1844153, 4.1843367, 4.1841788, 4.1840611, 4.183981899999999, 4.1837063, 4.1837063, 4.1835885, 4.1834307, 4.183312399999999, 4.1832733, 4.183116, 4.1829977, 4.183036799999999, 4.1828794, 4.182682499999999, 4.182722099999999, 4.182642899999999, 4.1824856, 4.1825252, 4.182367299999999, 4.18221, 4.18221, 4.1821704, 4.1822495, 4.1820917, 4.181894799999999, 4.1818161, 4.1816587, 4.181737399999999, 4.1816587, 4.1816587, 4.1815801, 4.1815801, 4.1813045, 4.1813045, 4.1812253, 4.1813436, 4.1811862, 4.1812649, 4.1812253, 4.1809106, 4.180871, 4.1809106, 4.1809497, 4.1809106, 4.1807528, 4.180792299999999, 4.1807137, 4.180635, 4.1805558, 4.180438, 4.180635, 4.1803594, 4.1803594, 4.1803198, 4.1802411, 4.1803594, 4.1803198, 4.1801229, 4.1801229, 4.1801624, 4.1802015, 4.1799655, 4.1800442, 4.1799655, 4.1800046, 4.1798472, 4.1796899, 4.1798472, 4.1797686, 4.1798863, 4.1795716, 4.179729, 4.1796503, 4.1796107000000005, 4.1796107000000005, 4.1795716, 4.179493, 4.1793747, 4.179493, 4.1793747, 4.1793351, 4.179296]",2476.422005851237
7,0.5,1,25,"[0.0, 27.174198356477746, 56.25770094378049, 88.37223319903558, 131.52062595012467, 191.87374391674496, 259.2424714693516, 324.21248927048794, 385.5605264903704, 441.05766427775416, 491.3516104214491, 538.0946517244705, 579.4608202657581, 618.6266660232405, 654.495292342728, 687.9141599686653, 718.9330158038737, 749.1785140925641, 778.1662144388002, 806.3377019880514, 833.7310737501256, 861.3315415367002, 889.4041613588698, 918.7110650052024, 948.3138924942169, 978.9061731445357, 1009.4534109039295, 1040.895265403136, 1072.7842546923384, 1105.4664911953614, 1140.244234896581, 1175.961375423757, 1211.5703119472669, 1245.9107362220648, 1278.3755272349154, 1307.922902074807, 1335.1128036624746, 1360.9738626060666, 1385.4034767653643, 1408.6066702448784, 1431.2409515211361, 1453.9636884526421, 1476.3652781513706, 1499.3830739206028, 1523.0417193167768, 1547.4962400936847, 1574.3710635968255, 1606.5813634245674, 1653.7389195177866, 1707.204699798241]","[4.195796, 4.194811799999999, 4.1937876, 4.1932364, 4.1926455, 4.191937, 4.1915431000000005, 4.191031, 4.1904011, 4.1901255, 4.1898103, 4.1894164, 4.188983400000001, 4.1886292, 4.1883926, 4.1881566, 4.1877627, 4.1874871, 4.1872902000000005, 4.1870146, 4.186738500000001, 4.186738500000001, 4.1864629, 4.1863055000000005, 4.186108600000001, 4.1859117, 4.1855178, 4.1855965, 4.1853604, 4.1852422, 4.184927, 4.1847696, 4.1846514, 4.1845727, 4.1843367, 4.184258, 4.184258, 4.1840611, 4.1838245, 4.1838641, 4.1835885, 4.1837063, 4.1834307, 4.183351999999999, 4.183076399999999, 4.1832733, 4.183116, 4.183116, 4.182722099999999, 4.1827612, 4.1826038, 4.1825252, 4.1824856, 4.182367299999999, 4.18221, 4.1823282, 4.182131299999999, 4.182013, 4.181934399999999, 4.181894799999999, 4.1819739, 4.181776999999999, 4.1818161, 4.1816192, 4.1815801, 4.1815801, 4.181501399999999, 4.1813045, 4.1813045, 4.1812253, 4.1811862, 4.1811075, 4.1810679, 4.1809106, 4.180871, 4.180989299999999, 4.180831899999999, 4.180792299999999, 4.180831899999999, 4.1807137, 4.1805167, 4.1807528, 4.1805167, 4.1806741, 4.1803594, 4.180438, 4.1803594, 4.1803594, 4.1802411, 4.1802411, 4.1801229, 4.1800833, 4.1801624, 4.1800833, 4.1801229, 4.1799655, 4.1801229, 4.1799259, 4.1798863, 4.1799655, 4.1798077000000005, 4.1798472, 4.1798863, 4.1796107000000005, 4.1796107000000005, 4.179493, 4.1795716, 4.179493, 4.1795321, 4.179493, 4.1795716, 4.1795321, 4.1792564, 4.1793351, 4.179296, 4.1792564, 4.1792173, 4.1793351, 4.1792564]",2473.870133055285
8,0.5,1,25,"[0.0, 26.902899803922764, 55.476516910098894, 87.89837201619844, 130.87748708001118, 191.1679637625674, 258.23307644915997, 323.6430324047874, 384.16995254029075, 439.2458268025945, 490.30619077014376, 536.4746394287371, 578.269116410119, 617.093997522198, 652.6230691684822, 685.5725981567788, 717.3692409483509, 747.5585790136678, 776.6183694607049, 804.4005470239823, 831.662031818773, 859.2931787189058, 887.8194035953335, 916.4021181571151, 946.5033089961559, 976.719126558323, 1007.6518975133894, 1038.9014244418304, 1070.738600052664, 1103.615537316684, 1137.6512865778914, 1173.1551522166055, 1208.8834758643056, 1243.7723273431075, 1276.0397335335074, 1305.6384444414316, 1333.0067750298776, 1358.648036673556, 1383.076813470269, 1406.291868067517, 1429.1294818727692, 1451.7371936800814, 1473.9881199703286, 1497.0685769983238, 1520.5628066777413, 1544.9102745713367, 1571.5569389092707, 1604.4632507809251, 1650.9489816402834, 1703.7685495760093]","[4.195796, 4.194811799999999, 4.1939845, 4.1931577, 4.1925669, 4.1920156, 4.1913462, 4.1911492, 4.1905584000000005, 4.1902828, 4.1898103, 4.1894951, 4.1890621, 4.1887078, 4.1883531000000005, 4.1883531000000005, 4.1878018, 4.1875658, 4.1872902000000005, 4.186975, 4.1868176, 4.1866598, 4.1863842, 4.1861873, 4.1860299, 4.185833000000001, 4.1857147, 4.1855178, 4.185320900000001, 4.1851635, 4.1850061, 4.184927, 4.1845727, 4.1843758, 4.1843758, 4.1842971, 4.1841788, 4.1839032, 4.183981899999999, 4.1836672, 4.1836672, 4.1835489, 4.183351999999999, 4.183312399999999, 4.183116, 4.183116, 4.183076399999999, 4.183036799999999, 4.1828794, 4.182642899999999, 4.182642899999999, 4.1825252, 4.182446499999999, 4.182367299999999, 4.1823282, 4.1820917, 4.1820917, 4.182013, 4.1819739, 4.181894799999999, 4.181737399999999, 4.1816192, 4.181737399999999, 4.181501399999999, 4.181501399999999, 4.181501399999999, 4.181461799999999, 4.1813831, 4.1813045, 4.1813045, 4.1812649, 4.1810284, 4.180989299999999, 4.1810284, 4.1810284, 4.180871, 4.180831899999999, 4.1807137, 4.180792299999999, 4.180792299999999, 4.1805558, 4.180438, 4.1805558, 4.1804771, 4.1803198, 4.1803198, 4.1803985, 4.1802411, 4.1802802, 4.1801229, 4.1800442, 4.1802015, 4.1800833, 4.1799259, 4.1800046, 4.1799259, 4.1798863, 4.1798472, 4.1799259, 4.1796107000000005, 4.1798077000000005, 4.179729, 4.1795321, 4.1798472, 4.1795321, 4.1796899, 4.1796503, 4.1793747, 4.1794138, 4.1794138, 4.1794534, 4.1794138, 4.1792564, 4.1793747, 4.1793351, 4.1793747, 4.1794138, 4.1792173, 4.179138200000001]",2471.620705088299
9,0.5,1,25,"[0.0, 25.678452503238418, 54.54991263239367, 87.07534132676244, 129.88875021258434, 189.63052357609786, 257.35242013677146, 322.2037907388245, 382.7205527551712, 437.36042182661924, 488.529257962692, 534.1520674829944, 576.4756300378783, 615.2267445726452, 651.0027625650637, 684.0745512221238, 715.563988948649, 745.3374112544682, 774.6188268036419, 802.1897214884209, 829.5902644706898, 857.2367987611119, 885.272410763077, 914.379018425474, 944.1328286412686, 974.0852669763651, 1005.0630107559023, 1036.3693449036475, 1068.4100552327573, 1101.4910704519882, 1135.6134740750956, 1170.8668489051, 1206.4446220805214, 1241.461287450902, 1273.3952657498332, 1303.158586232654, 1330.3922102143217, 1355.8520322780043, 1380.3687656681666, 1404.023861418785, 1426.591498242013, 1449.320989715028, 1471.873621798425, 1494.409003879794, 1518.0679969529097, 1542.5328472611525, 1568.633041103015, 1601.412775738201, 1647.7280323525476, 1696.7764097237844]","[4.19556, 4.1946149, 4.1939058, 4.1930394, 4.1923699, 4.19174, 4.1910706, 4.1907949, 4.1904402, 4.189889, 4.1895347, 4.1891408, 4.1888652, 4.1884713, 4.1880774, 4.1878018, 4.187526200000001, 4.1874475, 4.1869354, 4.1868567, 4.186620700000001, 4.1865025000000005, 4.186148200000001, 4.1859512, 4.1856756, 4.1855178, 4.1853604, 4.1851635, 4.1850061, 4.184927, 4.1847305, 4.1844544, 4.1844153, 4.1841788, 4.1841788, 4.1839032, 4.183981899999999, 4.1837063, 4.1835885, 4.1835489, 4.1832733, 4.1831946, 4.183076399999999, 4.1829581, 4.1829581, 4.182722099999999, 4.182682499999999, 4.182642899999999, 4.1824856, 4.182564299999999, 4.1822495, 4.1823282, 4.1820917, 4.1820917, 4.181894799999999, 4.182013, 4.181894799999999, 4.181737399999999, 4.1816587, 4.1816587, 4.1816192, 4.1814222, 4.1813436, 4.1813436, 4.1812649, 4.1811862, 4.1811862, 4.1810284, 4.1809497, 4.1809497, 4.180989299999999, 4.1807137, 4.180831899999999, 4.180635, 4.1805954, 4.1805954, 4.1805167, 4.1803198, 4.1805167, 4.1802802, 4.1803594, 4.1802015, 4.1802802, 4.1801624, 4.1801229, 4.1801624, 4.1801229, 4.1798863, 4.1799655, 4.1799259, 4.1797686, 4.1798472, 4.1797686, 4.179729, 4.1796899, 4.1797686, 4.1796107000000005, 4.1795321, 4.1795321, 4.1796107000000005, 4.1794138, 4.1795321, 4.1792564, 4.1793747, 4.1793747, 4.1792564, 4.179138200000001, 4.179296, 4.1792173, 4.1792173, 4.1790204, 4.178941200000001, 4.1790204, 4.1790204, 4.1790595, 4.1789021, 4.1790595, 4.1787839, 4.1788235]",2469.154433002114
10,0.5,1,25,"[0.0, 28.02830878782993, 56.82503784811877, 89.2897366788693, 132.3282230473253, 191.51968187816078, 258.9589072809064, 324.37879706308513, 384.6667306603488, 439.9385020884217, 490.0483693579157, 536.2671685935038, 577.9323051634299, 616.3471429918209, 652.2144566120005, 685.2995264586409, 717.3954387254187, 746.9854700678015, 775.9801061818366, 804.2970228347817, 831.4923262829964, 859.0474133057535, 886.8681035118732, 915.760281007189, 945.559312555039, 975.7084253728649, 1006.6712774382886, 1037.5273559225363, 1069.9054326189362, 1102.3524238290875, 1136.4862527772443, 1172.0285784728537, 1207.5599702029604, 1242.3893728270452, 1274.8150825836126, 1304.2440584580634, 1331.8475739634553, 1357.162153794747, 1381.7384626721248, 1404.9813423945534, 1427.7137908139332, 1450.207235498879, 1472.6581997648857, 1495.6305652663345, 1518.6364615803177, 1543.4955497816397, 1569.9545477457266, 1602.1490035709596, 1648.6300567550322, 1700.203797521907]","[4.1958356, 4.194693599999999, 4.1938272, 4.1931577, 4.1925669, 4.192173, 4.1913462, 4.190913200000001, 4.190479799999999, 4.1902041, 4.189928500000001, 4.1892591, 4.1889048, 4.1887078, 4.188314, 4.1882744, 4.187683600000001, 4.187683600000001, 4.1872902000000005, 4.1868567, 4.186778100000001, 4.1864238, 4.1864629, 4.186069, 4.1859512, 4.1856756, 4.1855178, 4.1854787, 4.1852031, 4.185084799999999, 4.184927, 4.1848092, 4.1847305, 4.1845336, 4.1842184, 4.1842184, 4.1840611, 4.1839428, 4.1838245, 4.1837063, 4.1835885, 4.1835093, 4.183391599999999, 4.1831946, 4.183076399999999, 4.183116, 4.1828794, 4.182919, 4.1828008, 4.182722099999999, 4.182564299999999, 4.1826038, 4.182406899999999, 4.1822495, 4.182367299999999, 4.1820526, 4.182013, 4.1819739, 4.181894799999999, 4.1818161, 4.181697799999999, 4.181697799999999, 4.1816587, 4.181461799999999, 4.181461799999999, 4.1813045, 4.1813045, 4.1811466, 4.1812649, 4.1811466, 4.1811075, 4.1811466, 4.1811075, 4.1809106, 4.180871, 4.180989299999999, 4.1807528, 4.180635, 4.180792299999999, 4.1805558, 4.1807137, 4.1803985, 4.1805558, 4.180438, 4.1803985, 4.1802411, 4.1802411, 4.1803198, 4.1802802, 4.1802015, 4.1800442, 4.1800046, 4.1799259, 4.1799655, 4.1799259, 4.1799655, 4.1800442, 4.1797686, 4.1798077000000005, 4.1796899, 4.1796107000000005, 4.1795321, 4.1795716, 4.1795321, 4.1793351, 4.1794534, 4.1794138, 4.1794534, 4.1794138, 4.1794138, 4.1793351, 4.1790595, 4.179296, 4.1792173, 4.1792173, 4.1790991, 4.1790991, 4.1792173, 4.179138200000001]",2467.3860663275823
11,0.5,1,25,"[0.0, 27.06664880248377, 56.157904892880765, 88.38150075425824, 131.0379384574917, 190.31945618446173, 258.0172111623433, 322.8700375644687, 383.1233929638123, 438.36991006523476, 488.3729084811754, 534.3100494185247, 575.9577611709764, 615.2175500685788, 650.5160028837805, 683.4266344515576, 715.482441096559, 745.189131768737, 773.9619508530778, 802.137125034527, 829.6597156311483, 857.0319154126151, 885.1652849026201, 913.8784425619766, 943.4604905782581, 973.4847048864282, 1004.0539680598923, 1035.634198053699, 1067.3305379668495, 1100.5307286759394, 1134.2055955946453, 1169.5341829076779, 1205.6687944515525, 1240.3158014518804, 1272.4291248175168, 1302.104211007309, 1329.1598479077047, 1355.1042232320601, 1379.3747893563732, 1402.70474065883, 1425.189877906007, 1447.9256011928987, 1470.2625862665964, 1493.0531911151966, 1516.5676199239333, 1540.2147646913427, 1567.2385024537862, 1599.5290450583939, 1645.1884702681532, 1696.6762334248206]","[4.195717299999999, 4.194811799999999, 4.1938272, 4.193079, 4.1924882000000006, 4.1920156, 4.1913462, 4.1907554, 4.1904402, 4.1899676, 4.1895742, 4.1891017, 4.188983400000001, 4.1885109, 4.1881566, 4.1878805, 4.1876445, 4.1874475, 4.187053700000001, 4.1868176, 4.1865416, 4.1864238, 4.1862659, 4.1860299, 4.185833000000001, 4.185636, 4.185320900000001, 4.1852818, 4.184927, 4.1849666, 4.184691, 4.1846123, 4.1843758, 4.1842184, 4.1841397, 4.1840611, 4.1839032, 4.1837063, 4.1836672, 4.1834702, 4.183312399999999, 4.1835093, 4.1831551, 4.182919, 4.1829581, 4.1828008, 4.1828794, 4.182564299999999, 4.182722099999999, 4.1824856, 4.18221, 4.1822495, 4.1820526, 4.1819739, 4.181934399999999, 4.1818161, 4.181894799999999, 4.181737399999999, 4.1816192, 4.1816587, 4.1816587, 4.181501399999999, 4.1813045, 4.1813831, 4.1812649, 4.1813045, 4.1811075, 4.1811862, 4.1809106, 4.180792299999999, 4.1809497, 4.1807528, 4.1809106, 4.1807137, 4.1806741, 4.1807137, 4.1805558, 4.180438, 4.1804771, 4.1803198, 4.1802802, 4.1802411, 4.1802015, 4.1801229, 4.1800046, 4.1800833, 4.1800833, 4.1800442, 4.1800046, 4.1799259, 4.1799655, 4.179729, 4.1798472, 4.1796899, 4.1796503, 4.1796503, 4.1796503, 4.1796107000000005, 4.1796503, 4.1794534, 4.1793747, 4.1794534, 4.179493, 4.1794138, 4.1792564, 4.1792564, 4.1793351, 4.1790991, 4.1790991, 4.1791778, 4.1790595, 4.1792564, 4.179138200000001, 4.1790204, 4.1789021, 4.1790595, 4.1789808, 4.1789808, 4.1789808]",2465.125009165446
