Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity
2,0.5,2,25,"[0.0, 28.07871932013279, 56.9168126515284, 89.2040302751235, 131.94116682736262, 192.1752081357405, 259.10210147034854, 324.5186005349159, 385.86234940971644, 441.3678979711369, 493.1554758237679, 539.7787847999085, 582.6502413909762, 621.0368535450892, 657.5515107101272, 691.3118863445117, 722.6178120678018, 752.5397754723623, 781.3393219151027, 808.6249098745692, 836.0413356915043, 863.9327717225646, 891.9607520871117, 921.5006595457181, 951.6206179249385, 982.0859062030814, 1012.9726962800074, 1044.5615862262907, 1076.3808169693616, 1109.4830379878617, 1144.0261652246686, 1179.5804197130142, 1215.0565250859886, 1249.5274321910724, 1281.7286736859587, 1311.5397108780785, 1338.541454169395, 1364.1324066245493, 1388.6760431154594, 1412.3390683736166, 1434.733965071263, 1457.6275692201757, 1480.1016389635515, 1502.9431940107756, 1526.6729865237758, 1551.5241291286252, 1578.5107346006957, 1612.135233536072, 1661.0157636630906, 1714.8472884278003]","[4.1957388, 4.1945968, 4.193888200000001, 4.1930614, 4.1923523000000005, 4.1917615, 4.1914072, 4.1908956, 4.1905804, 4.1899896, 4.1895566, 4.1893201, 4.1890445, 4.1886115, 4.1882572, 4.1880207, 4.1876664, 4.1875877, 4.1870756, 4.1871152, 4.1866822, 4.1866426, 4.1862884, 4.1860127, 4.1859732, 4.1857371, 4.1856585, 4.1853824, 4.1852646, 4.184989, 4.1849494, 4.1848311, 4.1844769, 4.1844769, 4.1843586, 4.184083, 4.1839652, 4.183847, 4.1838074, 4.183847, 4.1835713, 4.1834531, 4.1834531, 4.1832561, 4.1830988, 4.183059200000001, 4.1828623, 4.1828623, 4.1826653, 4.1825867, 4.1825476, 4.1824293, 4.182508, 4.1823506, 4.1821933, 4.182272, 4.1822324, 4.1820354, 4.1819172, 4.1817994, 4.1817207000000005, 4.181681200000001, 4.181681200000001, 4.181484200000001, 4.181484200000001, 4.1813269, 4.1814055, 4.1814055, 4.1811299, 4.1810513, 4.1810513, 4.1810904, 4.1809726000000005, 4.1809330000000005, 4.1807756000000005, 4.1807756000000005, 4.180736100000001, 4.1807756000000005, 4.1806178, 4.1806574, 4.1806965, 4.1806178, 4.1804209000000006, 4.1805, 4.1803422, 4.180460500000001, 4.1802244, 4.180263500000001, 4.1801848, 4.1801848, 4.1801848, 4.1802244, 4.1800275000000005, 4.1799092, 4.1800666, 4.179830600000001, 4.1798697, 4.1797519, 4.1796727, 4.179633600000001, 4.179633600000001, 4.179594, 4.1795549, 4.1795154000000005, 4.1795549, 4.1795549, 4.179358000000001, 4.1794367, 4.1794367, 4.1792793, 4.1792002, 4.179358000000001, 4.1792793, 4.1793184000000005, 4.1792397, 4.179161100000001, 4.1792002, 4.179161100000001, 4.1790824]",2470.0517233029527
3,0.5,2,25,"[0.0, 28.444818156862766, 57.01727178518638, 89.32918654840171, 131.4910017934793, 190.73786404274415, 258.4124365709398, 324.3773680851741, 384.98015835615513, 440.74662850005564, 492.1224887826363, 539.0423405459408, 581.5939094370026, 620.1544238372646, 655.9351056838768, 690.0824034473362, 721.3307416787954, 751.3190785550323, 780.2918663451303, 808.0109497347528, 835.3401340981297, 862.6709522534914, 890.6089486362239, 920.0809844340902, 949.8886700240041, 980.0733000738492, 1011.1688056749003, 1042.4125689347056, 1074.4465325268486, 1107.368809539086, 1141.9623472665783, 1177.693287469621, 1213.4827978072778, 1248.0420346379833, 1279.942399249657, 1309.3503332574094, 1336.4866471533087, 1362.3616611171906, 1386.6244973535438, 1409.8249505740905, 1432.5759620876952, 1455.311056166344, 1477.837395630841, 1500.8134999764325, 1524.215247298986, 1549.0802925722203, 1576.256520057598, 1609.6506440782698, 1658.851430515973, 1711.318281181508]","[4.1958175, 4.1946754, 4.193848600000001, 4.1932578000000005, 4.192667500000001, 4.191879699999999, 4.1915255, 4.1910529, 4.1905408, 4.1901474, 4.1897535, 4.189280999999999, 4.1892023, 4.1887689, 4.1884146, 4.188060299999999, 4.187823799999999, 4.187706, 4.187390799999999, 4.1870365, 4.1868792, 4.1866031, 4.1864457, 4.1862884, 4.1860127, 4.185815799999999, 4.1857762, 4.1855006, 4.1853037, 4.1851859, 4.184989, 4.1850677, 4.1847525, 4.1845164, 4.1844378, 4.1842408, 4.184083, 4.1839652, 4.1839256, 4.1838861000000005, 4.1837683, 4.1835713, 4.1835318, 4.1833348, 4.1833744, 4.183059200000001, 4.1830988, 4.1828623, 4.1828623, 4.1828232000000005, 4.1825476, 4.1826262000000005, 4.1826262000000005, 4.1824689, 4.182311100000001, 4.182153700000001, 4.182153700000001, 4.182114100000001, 4.1818781000000005, 4.1819568, 4.1818385000000005, 4.1818385000000005, 4.181681200000001, 4.1816025, 4.1816416, 4.1815238, 4.1815629, 4.1814055, 4.1812873, 4.1814055, 4.181208600000001, 4.1813269, 4.1810117, 4.1810513, 4.1809726000000005, 4.1810904, 4.180814700000001, 4.1808543, 4.1808543, 4.180736100000001, 4.1806574, 4.180736100000001, 4.1805, 4.180539100000001, 4.180460500000001, 4.1804209000000006, 4.1805, 4.1805, 4.1803818, 4.180303100000001, 4.1801848, 4.180263500000001, 4.1801453, 4.180263500000001, 4.1800666, 4.1799879, 4.1799092, 4.179830600000001, 4.1799483, 4.1798697, 4.1799483, 4.1797519, 4.1796727, 4.1797519, 4.1797123, 4.179633600000001, 4.1795154000000005, 4.1795154000000005, 4.179633600000001, 4.1795154000000005, 4.1794758000000005, 4.1792793, 4.179358000000001, 4.1793184000000005, 4.179358000000001, 4.1793184000000005, 4.1793971, 4.1792397, 4.1790824]",2467.865380093046
4,0.5,2,25,"[0.0, 27.392129052551468, 56.19133413360407, 88.1755990441377, 131.01167973870406, 190.0238551064582, 256.7199111536577, 323.10031942027035, 383.9359883934536, 439.7387242520091, 490.1161364224015, 536.8297966416145, 579.2909180948058, 618.8032901991256, 654.1284053517408, 688.0325541107223, 718.8353043708722, 749.0000722862675, 777.7628374482348, 805.7856773793961, 833.2812181648964, 860.2948471353308, 888.3666732642001, 917.4545779559425, 947.1626514635467, 977.3585956330277, 1008.3165248214799, 1039.805915715042, 1071.9957949450795, 1105.0295192264211, 1139.1499704230337, 1174.654336236334, 1210.6631556061498, 1245.0422065100474, 1277.1530439909038, 1306.217116946017, 1333.7827715911858, 1359.2759395613807, 1383.6956323255245, 1407.164669558494, 1429.697237803416, 1452.356268296125, 1474.7826204318908, 1497.9116528620125, 1521.4850608327006, 1546.3103392169287, 1572.7856531620432, 1606.5383366541728, 1654.7300233869123, 1707.6717108580888]","[4.195581400000001, 4.1946363, 4.1937699, 4.1929822, 4.1923132, 4.191879699999999, 4.1914072, 4.1908956, 4.1903443, 4.1901078, 4.1896353, 4.1891627, 4.188965799999999, 4.1885719, 4.1884146, 4.1879816, 4.1876664, 4.187390799999999, 4.187154799999999, 4.1869969, 4.1868, 4.186485299999999, 4.186367, 4.1860914, 4.1859341, 4.1856189, 4.1855402, 4.1853037, 4.1851859, 4.1851068, 4.1847134, 4.1847134, 4.1845951, 4.1844378, 4.1842799, 4.1841617, 4.1839652, 4.184083, 4.1836896, 4.18365, 4.1834927, 4.1832957, 4.1832561, 4.1832561, 4.1831775, 4.1829414, 4.1828232000000005, 4.1827445, 4.1827049, 4.1827049, 4.1825867, 4.1824689, 4.1825867, 4.1823506, 4.1823506, 4.182114100000001, 4.182153700000001, 4.1820354, 4.1819172, 4.1817994, 4.1817994, 4.1815629, 4.181681200000001, 4.1815238, 4.1814055, 4.1815238, 4.181248200000001, 4.181248200000001, 4.1813269, 4.1811299, 4.1810117, 4.1810513, 4.1810904, 4.1809726000000005, 4.1808934, 4.180814700000001, 4.1806178, 4.1806574, 4.1806965, 4.1806574, 4.180539100000001, 4.1804209000000006, 4.1804209000000006, 4.180460500000001, 4.180263500000001, 4.1803422, 4.1804209000000006, 4.1801453, 4.1802244, 4.180263500000001, 4.1800275000000005, 4.1799092, 4.1800666, 4.1799879, 4.1799092, 4.179791000000001, 4.179830600000001, 4.1797519, 4.1796727, 4.1796727, 4.1797519, 4.1796727, 4.1794758000000005, 4.1794367, 4.179633600000001, 4.179594, 4.1793971, 4.179594, 4.1793971, 4.1793971, 4.1792397, 4.1792793, 4.1793184000000005, 4.1791215, 4.1792793, 4.1793184000000005, 4.1792793, 4.1791215, 4.1791215]",2464.5646722222227
5,0.5,2,25,"[0.0, 26.47684172243737, 54.754498148197854, 86.78154750117574, 128.68255539067115, 188.7343685733431, 257.06512104172236, 320.8037680746821, 381.6573067286349, 437.23227095053016, 488.0715185000656, 534.931663043074, 576.6567471348403, 615.5114047314328, 651.4447442302353, 684.8841846512107, 716.2429240614531, 746.0765342893262, 774.9982010128615, 802.574284635889, 829.9562549739958, 857.3312621510368, 885.2090926646172, 914.2263615081415, 944.3273342853975, 974.4209653169212, 1005.1445043091592, 1036.679961964237, 1068.6305916306412, 1101.8502132725566, 1135.838873454875, 1171.2750860987596, 1206.9194626987087, 1241.6596985544475, 1273.792152535733, 1302.9904235015408, 1330.2383950385672, 1355.6156689515738, 1380.0923721127442, 1403.4418709967817, 1426.1061655563765, 1448.9086992654397, 1471.4644784674033, 1494.075668037104, 1517.778008634295, 1542.3101220066594, 1569.27233999361, 1602.493035195668, 1651.671885283917, 1704.0523368207485]","[4.195581400000001, 4.1944394, 4.1936913, 4.1928644, 4.1924706, 4.1918406, 4.1911712, 4.1906986, 4.1903834, 4.1898322, 4.189517, 4.189241399999999, 4.1887298, 4.1884542, 4.1881785, 4.1878633, 4.1874695, 4.1872334, 4.1869969, 4.1868396, 4.186564, 4.1863275, 4.1861701, 4.1860518, 4.1855402, 4.1854615, 4.1853433, 4.185225, 4.1849494, 4.1850281, 4.1846738, 4.1843586, 4.1843586, 4.1842408, 4.184083, 4.1839652, 4.1838074, 4.1838861000000005, 4.1836104, 4.1836104, 4.1833744, 4.183217, 4.1831775, 4.1830988, 4.1830201, 4.1828623, 4.1828623, 4.1826262000000005, 4.1825867, 4.1824689, 4.182389700000001, 4.1822324, 4.1822324, 4.1819963, 4.182153700000001, 4.1819963, 4.1817994, 4.1817598, 4.1818385000000005, 4.1815629, 4.1816025, 4.181484200000001, 4.1816025, 4.1814055, 4.181366000000001, 4.1813269, 4.181169000000001, 4.181208600000001, 4.1810904, 4.1810904, 4.1808543, 4.1807756000000005, 4.1808934, 4.1808543, 4.180736100000001, 4.180578700000001, 4.1806574, 4.1805, 4.1803818, 4.1805, 4.1804209000000006, 4.1803818, 4.1801453, 4.1801453, 4.1802244, 4.180263500000001, 4.1799879, 4.180106200000001, 4.1800666, 4.1801453, 4.1800275000000005, 4.179830600000001, 4.1799092, 4.1797519, 4.1798697, 4.179830600000001, 4.1797123, 4.1798697, 4.179633600000001, 4.179594, 4.1795154000000005, 4.1794367, 4.1794367, 4.1792793, 4.1794758000000005, 4.1793184000000005, 4.179358000000001, 4.1791215, 4.1792793, 4.1792397, 4.1791215, 4.1792793, 4.1791215, 4.1790428, 4.1790428, 4.1790037, 4.1789641, 4.178885500000001, 4.1789641]",2462.4135154492183
6,0.5,2,25,"[0.0, 26.080640824841794, 54.48609840802794, 86.53406204586804, 128.44285515691672, 187.67949183104724, 255.40889314313915, 320.51655513654384, 381.19401750742543, 436.0213897569822, 486.9946146448274, 533.1165398398252, 575.3716634669711, 614.3519815670661, 649.8296257574402, 683.5171575306908, 714.465085525791, 744.715783721942, 773.4749152060353, 801.2694346003409, 828.6755467307171, 855.3766689849836, 883.2901355616709, 912.3753080971608, 941.9409852979047, 972.671718352779, 1003.2129281668019, 1034.3662506351986, 1066.5991578073758, 1099.4542051445271, 1133.5189866163955, 1169.3265744598455, 1205.0504258267965, 1239.0389151357695, 1271.3981404640958, 1300.5657187320685, 1328.051507606792, 1353.5651349171853, 1377.6168555178106, 1401.067818025885, 1423.8417395071867, 1446.4651390181925, 1468.9635332704754, 1491.9098448742093, 1515.2561802377957, 1539.8120796830078, 1566.458975779012, 1600.0484131077653, 1647.6916069588121, 1700.5298057371017]","[4.1956601, 4.194478500000001, 4.193573000000001, 4.1930614, 4.192234, 4.191879699999999, 4.1910925, 4.1906199, 4.1902652, 4.1899896, 4.1895566, 4.1890841, 4.1887298, 4.1885719, 4.188139, 4.1877451, 4.1876273, 4.1871939, 4.1869969, 4.1866426, 4.1865244, 4.1864457, 4.1860914, 4.185815799999999, 4.1857762, 4.1855793, 4.1853037, 4.1850281, 4.1850677, 4.1848311, 4.184792, 4.1845555, 4.1845555, 4.1843195, 4.1842012, 4.1838861000000005, 4.1839256, 4.1836104, 4.18365, 4.1834927, 4.1833744, 4.1832561, 4.1832561, 4.1830201, 4.1829019, 4.1829019, 4.1827049, 4.1826653, 4.1825476, 4.1824689, 4.182389700000001, 4.1821933, 4.1822324, 4.1821933, 4.1820354, 4.1819568, 4.1819172, 4.1819172, 4.1817207000000005, 4.1816416, 4.1815238, 4.1815238, 4.1815238, 4.1816025, 4.181169000000001, 4.1812873, 4.1810904, 4.1810117, 4.181169000000001, 4.1810513, 4.1810513, 4.1808543, 4.1808934, 4.1808934, 4.180736100000001, 4.1806574, 4.180578700000001, 4.1806574, 4.180539100000001, 4.180460500000001, 4.180460500000001, 4.1803422, 4.1802244, 4.180303100000001, 4.1802244, 4.180106200000001, 4.180106200000001, 4.180106200000001, 4.1800275000000005, 4.1800275000000005, 4.1800275000000005, 4.1799879, 4.179791000000001, 4.1798697, 4.179791000000001, 4.1797123, 4.1797519, 4.1796727, 4.1796727, 4.1795549, 4.1795154000000005, 4.1796727, 4.1794367, 4.1793971, 4.1793971, 4.1794758000000005, 4.1792793, 4.1795154000000005, 4.1792397, 4.1792397, 4.1792397, 4.1792002, 4.179161100000001, 4.1790428, 4.1790824, 4.1789641, 4.178885500000001, 4.1790824, 4.1789246]",2459.159985444879
7,0.5,2,25,"[0.0, 27.67427113003299, 56.46502985467674, 88.02637948035914, 130.10942536804743, 189.1132079618307, 256.6498560362981, 321.2435353294291, 382.3012454418046, 437.5769987633594, 488.0088718130435, 534.3099658657961, 576.2792826877906, 614.829458178411, 650.7767837622462, 684.1206735331459, 715.5343195906448, 745.3779591742905, 774.3961959858384, 801.9214066945788, 829.3274638292337, 856.4880485030583, 884.2626025915954, 913.0349287640045, 942.8152931089785, 973.0464324478921, 1003.7908390786893, 1035.049681471488, 1067.3839447344178, 1100.0678725321295, 1134.0848109645756, 1169.8626593131332, 1205.500849203978, 1239.3060865555412, 1271.895819768276, 1301.15814377535, 1328.4901707188842, 1354.1250651838063, 1377.8120389825633, 1401.4414240201816, 1424.3385277863538, 1446.6347186385833, 1469.3061040052569, 1492.0385124676131, 1515.6989200717996, 1540.2209474658148, 1566.9191694294918, 1600.00756352928, 1648.2765580248833, 1700.8787579793966]","[4.195581400000001, 4.1945181, 4.193573000000001, 4.192903500000001, 4.1923523000000005, 4.1917615, 4.1912889, 4.1908164, 4.1903443, 4.1898718, 4.189517, 4.1891627, 4.1888084, 4.188375499999999, 4.188060299999999, 4.1878633, 4.1874695, 4.187390799999999, 4.1870756, 4.186721299999999, 4.1866031, 4.1865244, 4.1861701, 4.1859341, 4.1856976, 4.1855793, 4.1854219, 4.185225, 4.185225, 4.184989, 4.1848311, 4.1845951, 4.1844378, 4.1843195, 4.1841617, 4.1839652, 4.1839256, 4.183847, 4.1836896, 4.1835713, 4.1834927, 4.1831775, 4.1830201, 4.1830201, 4.183059200000001, 4.1829414, 4.1828232000000005, 4.1825476, 4.1825867, 4.1825867, 4.1824689, 4.182272, 4.182272, 4.1822324, 4.182153700000001, 4.1819963, 4.1819172, 4.1819568, 4.1818385000000005, 4.1817994, 4.1815629, 4.181484200000001, 4.181248200000001, 4.181366000000001, 4.181366000000001, 4.181248200000001, 4.1810904, 4.181169000000001, 4.1810513, 4.1809726000000005, 4.1809330000000005, 4.1809726000000005, 4.1808934, 4.1807756000000005, 4.180736100000001, 4.180578700000001, 4.1804209000000006, 4.1806178, 4.180539100000001, 4.1803818, 4.1805, 4.1803422, 4.1803422, 4.1804209000000006, 4.1801848, 4.1800275000000005, 4.1800666, 4.1800275000000005, 4.1801453, 4.1801453, 4.1800275000000005, 4.179830600000001, 4.179830600000001, 4.1798697, 4.1797123, 4.1797123, 4.1796727, 4.179594, 4.179633600000001, 4.1795154000000005, 4.1797123, 4.1794758000000005, 4.1794758000000005, 4.179358000000001, 4.1793971, 4.1794758000000005, 4.1794367, 4.1792397, 4.1792002, 4.1793184000000005, 4.1792793, 4.1790824, 4.179161100000001, 4.1791215, 4.1790824, 4.1792002, 4.1791215, 4.178885500000001, 4.1790037]",2456.446861585829
8,0.5,2,25,"[0.0, 26.64635659833465, 55.25252336814748, 87.01831858555107, 128.80049600400952, 186.98711862448323, 254.51937716092215, 319.93368115143204, 379.9358011058626, 435.3921212841921, 485.70617751299216, 531.655920183236, 574.5642286251607, 612.7152145413497, 648.9182661159828, 681.7483564129207, 713.3546136226566, 743.1248418014375, 771.9632267558752, 799.8148463740895, 827.0707276144205, 854.2021990991541, 881.992358712562, 910.8063894202749, 940.1307369785347, 970.4066163334305, 1001.1385542936421, 1032.2795802919973, 1064.3033003752828, 1097.2926533593516, 1131.4154763765962, 1166.9696468672241, 1202.9727977807354, 1236.6057333683013, 1269.063871320758, 1298.4170207959662, 1325.874423331145, 1351.3076722578471, 1375.3962957542217, 1398.900479071555, 1421.276109359612, 1444.107585059352, 1466.2891148903118, 1489.319651458621, 1512.6772046498381, 1537.1615705280283, 1563.9407988298556, 1597.4200157218172, 1645.089366446881, 1697.4566207305227]","[4.1956601, 4.1945968, 4.1936913, 4.1928644, 4.1923132, 4.1918011, 4.1912103, 4.1907377, 4.1902261, 4.1899505, 4.1894779, 4.1891627, 4.188848, 4.188296299999999, 4.1880994, 4.1877847, 4.1876664, 4.1873121, 4.1871939, 4.1868, 4.1866822, 4.1862884, 4.1862884, 4.1860914, 4.1856585, 4.1855006, 4.1853433, 4.1851859, 4.1850677, 4.184792, 4.1847525, 4.1847525, 4.1845555, 4.1843195, 4.1840439, 4.1839256, 4.183847, 4.1837287000000005, 4.1834927, 4.18365, 4.1833348, 4.1834135, 4.1831379, 4.1830201, 4.1828623, 4.1828232000000005, 4.1828232000000005, 4.1827049, 4.1825476, 4.1824293, 4.182389700000001, 4.182153700000001, 4.1821933, 4.182153700000001, 4.182075, 4.182075, 4.1818385000000005, 4.1819172, 4.1819963, 4.1817598, 4.1815629, 4.181366000000001, 4.1815238, 4.181444600000001, 4.1812873, 4.1812873, 4.1811299, 4.1812873, 4.1810513, 4.1810513, 4.1810117, 4.180814700000001, 4.1808543, 4.1808543, 4.1807756000000005, 4.1807756000000005, 4.180539100000001, 4.1806574, 4.1804209000000006, 4.180578700000001, 4.180460500000001, 4.1803422, 4.1803422, 4.1802244, 4.1802244, 4.180263500000001, 4.1802244, 4.1801453, 4.1799879, 4.1800275000000005, 4.179830600000001, 4.1798697, 4.1799483, 4.1797519, 4.1796727, 4.1797123, 4.179633600000001, 4.179791000000001, 4.179633600000001, 4.1796727, 4.1795154000000005, 4.1796727, 4.1794367, 4.1793971, 4.1794367, 4.1794367, 4.1793971, 4.1794367, 4.1793184000000005, 4.1793971, 4.1792793, 4.1792793, 4.1792397, 4.1792002, 4.1790037, 4.1790428, 4.1790037, 4.178885500000001, 4.178885500000001]",2453.693410584308
9,0.5,2,25,"[0.0, 29.22852290918962, 57.85401906688759, 89.21350584420401, 131.00844388160277, 189.11286171937326, 256.45132096079413, 321.89217496167197, 381.8919791217921, 437.23902483208093, 487.5781042314025, 533.3774628451463, 575.18306409509, 614.3493307597018, 649.5522908475593, 683.2865807042483, 714.6059854150726, 744.6483981071356, 773.3108346410718, 801.1027489145567, 828.176384444396, 855.4500809218898, 883.0678980008702, 911.9310413001915, 941.4317988846233, 971.2792028122578, 1002.1435512310604, 1033.316130017078, 1065.3056257915603, 1098.0824315532677, 1131.9976720885677, 1167.7428124146836, 1202.9732557098494, 1237.2287743752706, 1269.6351460236738, 1298.8860822598058, 1326.0459099060163, 1351.8950291709798, 1375.9954735187823, 1398.9404258330153, 1421.7171516721553, 1444.0812637691006, 1466.6432604311099, 1489.3026776301713, 1513.0632601256573, 1537.4019795618003, 1564.1928567615319, 1596.9649531716418, 1644.4850976713528, 1693.9222773837632]","[4.1956205, 4.194557700000001, 4.193573000000001, 4.192903500000001, 4.192234, 4.1917615, 4.1911316, 4.1906199, 4.1902652, 4.1898322, 4.1894779, 4.1890445, 4.1886902, 4.188375499999999, 4.1880994, 4.1877847, 4.1874695, 4.1872334, 4.1869578, 4.1866426, 4.186564, 4.1862884, 4.1859732, 4.1858549, 4.1856976, 4.1854219, 4.1853037, 4.1850281, 4.184792, 4.1845951, 4.1845555, 4.1843586, 4.1842408, 4.1841617, 4.1839652, 4.1837683, 4.1836104, 4.1835318, 4.1835713, 4.1833348, 4.1833348, 4.1832561, 4.1830988, 4.1829019, 4.1828623, 4.1825867, 4.1826653, 4.1825867, 4.1824293, 4.1822324, 4.1821933, 4.182075, 4.182153700000001, 4.1818781000000005, 4.1820354, 4.1818385000000005, 4.1817598, 4.1815629, 4.1817598, 4.181484200000001, 4.1814055, 4.1812873, 4.1813269, 4.1813269, 4.181169000000001, 4.181208600000001, 4.1810904, 4.1810117, 4.1808934, 4.1809330000000005, 4.1808543, 4.180578700000001, 4.180578700000001, 4.180578700000001, 4.180539100000001, 4.1804209000000006, 4.180460500000001, 4.1803422, 4.1803422, 4.1803422, 4.180263500000001, 4.1800666, 4.1801453, 4.1800275000000005, 4.180106200000001, 4.1799092, 4.1800275000000005, 4.1798697, 4.1799092, 4.1799092, 4.1798697, 4.1797519, 4.179633600000001, 4.1797123, 4.179633600000001, 4.179594, 4.1795549, 4.1792793, 4.1795549, 4.179358000000001, 4.1793971, 4.1792793, 4.1791215, 4.1792002, 4.179358000000001, 4.1792002, 4.1792002, 4.1790428, 4.1790428, 4.1790037, 4.1790428, 4.1789246, 4.1790037, 4.1791215, 4.178885500000001, 4.178845900000001, 4.1786489, 4.1786489, 4.1786885]",2451.125663985732
10,0.5,2,25,"[0.0, 28.16134992222794, 56.58644607706515, 87.98905949066364, 129.6736164690626, 187.24811168217104, 254.8138515948383, 320.1938151062168, 380.2119662397107, 435.20777901063195, 485.4539682526163, 531.3877543795686, 573.321896294228, 611.9739562507339, 647.4582894150919, 680.5079271126972, 712.3360232953244, 742.3221547498335, 770.9078524462388, 798.8631982497093, 826.4606366245023, 853.2422440582125, 880.6601376224728, 909.6330571626813, 938.5870684040699, 968.8646171578155, 999.3051056295392, 1030.8441236283713, 1062.650366236572, 1095.3393418871808, 1129.6637034414919, 1164.7947589752162, 1200.1802284385249, 1234.6491782559722, 1267.107509763031, 1296.3518584957185, 1323.4665404402615, 1349.1235498861088, 1373.1765585994792, 1396.1777747892352, 1418.8243358772722, 1441.5343573322507, 1464.1120423223774, 1486.5470591494106, 1510.1535364079248, 1534.1948286263198, 1560.9332318053891, 1594.1561519947988, 1641.3608219943774, 1690.2576696249023]","[4.1956992, 4.194557700000001, 4.1938095, 4.1928644, 4.1922736, 4.1916828, 4.1911712, 4.1906986, 4.190423, 4.190029099999999, 4.1893597, 4.188965799999999, 4.1888084, 4.188375499999999, 4.188139, 4.187823799999999, 4.1875482, 4.1871152, 4.1870756, 4.186721299999999, 4.186564, 4.1862884, 4.1860127, 4.1857371, 4.1856976, 4.1853433, 4.1851463, 4.1851463, 4.1849494, 4.1846738, 4.1845555, 4.1844769, 4.1843195, 4.1841226, 4.1840439, 4.1839256, 4.1839652, 4.1837287000000005, 4.1835318, 4.1834135, 4.1833348, 4.1831379, 4.183217, 4.1830201, 4.1828232000000005, 4.1828623, 4.1825867, 4.1826653, 4.1824293, 4.182311100000001, 4.182389700000001, 4.182272, 4.1820354, 4.1819568, 4.1819172, 4.1817598, 4.1818385000000005, 4.1816416, 4.1815238, 4.1816025, 4.181366000000001, 4.181366000000001, 4.1812873, 4.181169000000001, 4.181208600000001, 4.1810117, 4.1811299, 4.1811299, 4.1809330000000005, 4.1808934, 4.1806965, 4.180814700000001, 4.1806965, 4.1806178, 4.1806574, 4.180539100000001, 4.180539100000001, 4.1803422, 4.180263500000001, 4.1803422, 4.1802244, 4.1801453, 4.1801848, 4.1801453, 4.1800275000000005, 4.1800666, 4.1799879, 4.1799879, 4.1799879, 4.1799092, 4.1798697, 4.179791000000001, 4.179791000000001, 4.1797123, 4.179791000000001, 4.1797519, 4.179633600000001, 4.179594, 4.1796727, 4.179358000000001, 4.1794758000000005, 4.1794367, 4.1793184000000005, 4.1792002, 4.179358000000001, 4.1792002, 4.1790824, 4.1792002, 4.179161100000001, 4.179161100000001, 4.1792002, 4.1790824, 4.1790428, 4.1789246, 4.1789246, 4.1787276, 4.1789246, 4.1789641, 4.1786885]",2448.6795676817483
11,0.5,2,25,"[0.0, 26.26478939950647, 55.23791446062745, 87.02631573756474, 127.96530122381324, 186.23450099336532, 254.2291315366511, 317.8927368739334, 378.3730818928488, 432.9888199111496, 484.06764334761266, 529.347714236415, 571.227926691666, 609.8143999429976, 645.355145081724, 678.4552225164512, 709.9116167790603, 739.7487266426212, 768.6123216888843, 796.5194977166464, 823.7916571046117, 850.92864709115, 878.4273163311195, 906.9327413078631, 936.3195535702423, 966.6105062447753, 997.3650859866723, 1028.39153964385, 1060.022772960124, 1093.029839803138, 1126.8623518835655, 1162.2687734679414, 1197.999956180754, 1232.1092442499348, 1263.4695223290996, 1293.563444113632, 1320.752778019774, 1346.2613643878092, 1370.5756290891875, 1393.578460009565, 1416.322116724579, 1438.6576763036026, 1460.9377432148112, 1483.614863146128, 1506.9638703234464, 1531.214322603609, 1557.9551997449819, 1590.4481508258039, 1637.5975579722988, 1686.6585203967945]","[4.195463200000001, 4.1943998, 4.1935339, 4.1928644, 4.1921554, 4.191565, 4.1910133, 4.1905804, 4.190186499999999, 4.1897535, 4.189241399999999, 4.1889267, 4.1884542, 4.188335899999999, 4.1878633, 4.1875091, 4.1872725, 4.1870365, 4.1866426, 4.1865244, 4.1861305, 4.1859732, 4.1857762, 4.1857762, 4.1854615, 4.1851859, 4.1851068, 4.1850677, 4.184792, 4.1845555, 4.1843195, 4.1843195, 4.1842012, 4.1839256, 4.183847, 4.1835318, 4.1834927, 4.1833348, 4.1830201, 4.1831379, 4.1828623, 4.1827445, 4.1827049, 4.1827049, 4.1825476, 4.1824689, 4.1825867, 4.1821933, 4.1820354, 4.1819568, 4.182153700000001, 4.1819963, 4.1817994, 4.1817994, 4.1815238, 4.1816025, 4.181681200000001, 4.1813269, 4.181169000000001, 4.181248200000001, 4.181248200000001, 4.1812873, 4.1809726000000005, 4.1810117, 4.1808934, 4.1810117, 4.1806965, 4.180814700000001, 4.180578700000001, 4.1806574, 4.180539100000001, 4.180460500000001, 4.1802244, 4.180539100000001, 4.1804209000000006, 4.1804209000000006, 4.1802244, 4.1800666, 4.1798697, 4.1801848, 4.1799483, 4.1799879, 4.1798697, 4.179791000000001, 4.179791000000001, 4.179830600000001, 4.1797123, 4.1797519, 4.179594, 4.179594, 4.1795154000000005, 4.1794758000000005, 4.1793971, 4.179358000000001, 4.1793971, 4.1793184000000005, 4.1793971, 4.1792397, 4.1791215, 4.1791215, 4.1792397, 4.1790428, 4.1790428, 4.1790037, 4.1789641, 4.178885500000001, 4.1789641, 4.1789246, 4.1789246, 4.1789641, 4.178845900000001, 4.1788068, 4.1785312, 4.1787276, 4.1786489, 4.1785703000000005, 4.1786489, 4.1785312, 4.1785312]",2447.002273173284
