Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.095, 0.10176163265306129, 0.114, 0.131, 0.14837105751391483, 0.1664344023323615, 0.181, 0.2, 0.213, 0.227, 0.243, 0.257, 0.278, 0.304, 0.331, 0.3606020408163266, 0.3898090379008747, 0.4260891514500538, 0.471, 0.523935553168636, 0.62, 0.708, 0.8521025778732546, 0.932, 1.0, 1.098, 1.1771717687074832, 1.237, 1.2970057142857143, 1.354, 1.402, 1.439, 1.476, 1.5198911564625852, 1.554, 1.5968949579831933, 1.636, 1.67, 1.7004551020408165, 1.736, 1.773, 1.801, 1.8322261904761898, 1.859, 1.888, 1.914, 1.947, 1.972, 1.997, 2.029]",1.2,25,-2.4,2.369,2.346
3,"[0.095, 0.102, 0.114, 0.12888383045525895, 0.149, 0.166, 0.18, 0.1976254826254826, 0.20953061224489763, 0.227, 0.24371938775510205, 0.259, 0.2782639455782312, 0.3, 0.332, 0.3607379591836733, 0.39, 0.427, 0.463, 0.528, 0.613, 0.74, 0.821, 0.9090629251700679, 1.0270765306122445, 1.1, 1.183, 1.236, 1.292, 1.354, 1.3968163265306113, 1.438842448979592, 1.479, 1.522, 1.5697278911564625, 1.599, 1.6425251700680268, 1.6734200680272109, 1.703, 1.741, 1.7726612244897957, 1.8003911564625847, 1.832, 1.867, 1.887, 1.913685052399338, 1.948, 1.9731394557823132, 1.997, 2.031]",1.2,25,-2.4,2.366,2.344
4,"[0.094, 0.10240897959183681, 0.113, 0.129, 0.151, 0.168, 0.18281632653061258, 0.202, 0.216, 0.231, 0.24423129251700687, 0.26, 0.28, 0.303, 0.33348847926267283, 0.363, 0.3941119960179193, 0.42913971742543155, 0.478, 0.532, 0.611, 0.755029761904762, 0.828, 0.9099619666048238, 1.0189125364431482, 1.099, 1.175, 1.2385821697099892, 1.293, 1.356380408163265, 1.3975874241588526, 1.4355799319727889, 1.4866295133437992, 1.5198503401360544, 1.571, 1.6007542857142858, 1.638, 1.676, 1.702, 1.738, 1.775, 1.803, 1.8337593984962406, 1.8691061224489796, 1.8902397959183672, 1.916, 1.947, 1.973, 1.996, 2.03]",1.2,25,-2.4,2.365,2.342
5,"[0.095, 0.103, 0.114, 0.13, 0.151, 0.169, 0.183, 0.2003154761904763, 0.213, 0.227, 0.245, 0.2606587755102041, 0.282, 0.3082113702623907, 0.331, 0.363, 0.3948732545649839, 0.43049165120593685, 0.4750816326530611, 0.534, 0.6200544217687078, 0.725, 0.8518231292517007, 0.9222868480725623, 1.006, 1.101, 1.184, 1.237, 1.295, 1.351, 1.398, 1.4387983673469387, 1.480748457522544, 1.524174456879526, 1.556, 1.5995274725274724, 1.638, 1.6727176870748293, 1.701, 1.741, 1.7737676609105177, 1.802, 1.833, 1.866204081632653, 1.8869951020408162, 1.913, 1.9461020408163259, 1.971, 1.997, 2.029]",1.2,25,-2.4,2.361,2.341
6,"[0.097, 0.103, 0.116, 0.132, 0.152, 0.168, 0.18239918367346933, 0.201, 0.213, 0.228, 0.246, 0.2607535321821033, 0.2803163265306122, 0.30212471655328765, 0.332, 0.36545408163265286, 0.395, 0.43, 0.466, 0.5326410018552874, 0.622, 0.759, 0.8570311493018259, 0.927, 1.031, 1.102, 1.187, 1.2530185528756956, 1.2944802431610942, 1.34, 1.398, 1.4373435374149657, 1.4794192949907237, 1.52, 1.5557820408163265, 1.6, 1.6365251700680268, 1.671, 1.701, 1.7400910093767235, 1.772751391465677, 1.8033911564625846, 1.831, 1.865, 1.893, 1.919, 1.946, 1.972, 1.999, 2.029]",1.2,25,-2.4,2.36,2.341
7,"[0.096, 0.104, 0.1157524687294272, 0.13193959183673465, 0.1533427370948378, 0.17, 0.186, 0.20048677248677238, 0.21321858216970987, 0.228, 0.24543877551020388, 0.261, 0.283, 0.3039146567717994, 0.335, 0.36648549946294295, 0.395, 0.4336292517006798, 0.477, 0.535, 0.626, 0.759, 0.861, 0.944, 1.0340382653061222, 1.103502915451895, 1.172, 1.254, 1.297, 1.352909387755102, 1.399, 1.438, 1.482, 1.524, 1.5630918367346938, 1.6, 1.639, 1.6684200680272108, 1.7, 1.735, 1.767, 1.802, 1.832, 1.868, 1.893, 1.92, 1.946, 1.970639455782313, 1.996, 2.024]",1.2,25,-2.4,2.358,2.34
8,"[0.095, 0.10432982225148126, 0.116, 0.132, 0.153, 0.17, 0.18419856591285172, 0.2032704081632654, 0.214, 0.229, 0.24601166180758013, 0.262, 0.28121335807050096, 0.3082113702623907, 0.337, 0.3665889212827987, 0.396, 0.432, 0.469, 0.536, 0.6350408163265309, 0.7530255102040817, 0.858, 0.918, 1.028, 1.102, 1.174, 1.235, 1.296, 1.341, 1.399, 1.4395799319727889, 1.4785673469387757, 1.528, 1.557469387755102, 1.6001224489795915, 1.636, 1.674, 1.702, 1.73930612244898, 1.774, 1.794, 1.831119047619047, 1.868, 1.888, 1.912, 1.946, 1.972, 1.996, 2.029]",1.2,25,-2.4,2.357,2.341
9,"[0.096, 0.105, 0.116, 0.132, 0.154, 0.169, 0.183, 0.201, 0.217, 0.232, 0.246, 0.263, 0.282, 0.3106248037676608, 0.334, 0.365, 0.39697959183673476, 0.435, 0.47032823129251683, 0.537564081632653, 0.630251700680272, 0.766, 0.8380455259026686, 0.939, 1.033038265306122, 1.1009234693877552, 1.176, 1.244, 1.301, 1.355, 1.399, 1.442, 1.482, 1.529, 1.56, 1.5995934065934063, 1.638, 1.676, 1.7024772370486652, 1.7431202623906705, 1.7748456632653058, 1.803, 1.833, 1.863, 1.89, 1.913, 1.946, 1.972, 1.997, 2.029]",1.2,25,-2.4,2.357,2.341
10,"[0.097, 0.103, 0.116, 0.133, 0.153, 0.17, 0.185, 0.204, 0.216, 0.22985289115646254, 0.246, 0.263, 0.28415986394557835, 0.303, 0.33227819548872173, 0.359, 0.39666472303206995, 0.4312904238618521, 0.481, 0.538, 0.6295510204081631, 0.74, 0.864, 0.927696083838941, 1.037, 1.11, 1.178, 1.243, 1.291, 1.358, 1.4016188637617206, 1.4396793943383805, 1.484922448979592, 1.522, 1.572, 1.601, 1.638, 1.672, 1.6994772370486653, 1.7368803339517622, 1.773, 1.797, 1.831, 1.8593020408163259, 1.887265306122449, 1.9202669387755102, 1.9454358130348914, 1.971341836734694, 1.995, 2.027]",1.2,25,-2.4,2.355,2.341
11,"[0.096, 0.104, 0.116, 0.13152226345083493, 0.154, 0.171, 0.1845252416756175, 0.19884523809523813, 0.21543716433941976, 0.226, 0.244, 0.261, 0.28, 0.30862480376766077, 0.336, 0.365, 0.392, 0.443, 0.479157551020408, 0.5341616954474093, 0.615, 0.739, 0.862, 0.943, 1.034, 1.107, 1.184, 1.243, 1.2948061224489795, 1.353, 1.3975450954575377, 1.44, 1.49, 1.524, 1.559, 1.5968571428571425, 1.638, 1.674, 1.701, 1.734, 1.7665903790087463, 1.803, 1.8308781512605043, 1.86, 1.894, 1.9170289115646253, 1.947151020408163, 1.971, 1.995, 2.028]",1.2,25,-2.4,2.353,2.338
